Device ID,Property,Apartment,State,Category,No Water,Gain,Pipe Type,Pipe Size,HW Flag,spiInitFail
79466692,Auburn MHC,3,Failed Cal,Pre-existing dead (never metered),false,55,L,½,,0
70261761,Aurora MHC,159,Failed Cal,Casualty (metered pre-FW),false,41,M,½,,0
77057885,Aurora MHC,33,Failed Cal,Casualty (metered pre-FW),false,55,X,½,,0
72717897,Azulejo,1502,Metering,Casualty (metered pre-FW),false,32,X,¾,Y,5819
75367704,Broadway MHP DesMoines,4,Failed Cal,Casualty (metered pre-FW),false,26,X,½,,0
75374122,CJ,116,TI Silent,Casualty (metered pre-FW),false,0,L,1,,0
75362382,Cactus Flower,9 and Laundry,Failed Cal,Casualty (metered pre-FW),false,55,L,¾,,0
77054759,Canada,D1TC,Failed Cal,Casualty (metered pre-FW),false,32,X,½,,0
77061481,Canada,B18TC,Failed Cal,Casualty (metered pre-FW),false,55,M,½,,0
70261902,Coleman Village,179,Failed Cal,No Water flagged,true,55,X,¾,,0
70265408,Crystal Acres MHC,7-OLD,TI Silent,Pulled meter (OLD/REMOVED tag),false,0,P,¾,Y,0
72379413,Crystal Acres MHC,16-OLD,Failed Cal,Pulled meter (OLD/REMOVED tag),false,55,X,¾,,0
72384678,Crystal Acres MHC,13,TI Silent,Unclassified,false,0,X,¾,,0
75360113,Grand Valley Estates MHC,10-SHENNADOH-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
75364495,Grand Valley Estates MHC,23-DOUBLETREE-CT,Failed Cal,No Water flagged,true,55,X,¾,,0
75365286,Grand Valley Estates MHC,8-SHENNADOH-DR,Failed Cal,No Water flagged,true,53,X,¾,,0
75365757,Grand Valley Estates MHC,13-SHENNADOH-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
75366441,Grand Valley Estates MHC,26-DOUBLETREE-CT,Failed Cal,No Water flagged,true,55,X,¾,,0
75366607,Grand Valley Estates MHC,15-SHENNADOH-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
75366805,Grand Valley Estates MHC,7-SHENNADOH-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
75367852,Grand Valley Estates MHC,19-SHENNADOH-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
75368298,Grand Valley Estates MHC,20-SHENNADOH-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
75369007,Grand Valley Estates MHC,5-DOUBLETREE-DR,Calibrating,Unclassified,false,40,X,¾,,0
75369189,Grand Valley Estates MHC,30-STONE,Failed Cal,No Water flagged,true,47,X,¾,,0
75370591,Grand Valley Estates MHC,22-DOUBLETREE-CT,Calibrating,No Water flagged,true,40,X,¾,,0
75372563,Grand Valley Estates MHC,17-SONOMAVALLEY-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
75372803,Grand Valley Estates MHC,48-IMPERIALVALLEY-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
75373421,Grand Valley Estates MHC,1-DOUBLETREE-CT,Failed Cal,No Water flagged,true,55,X,¾,,0
75373694,Grand Valley Estates MHC,27-DOUBLETREE-CT,Failed Cal,No Water flagged,true,55,P,¾,,0
75374452,Grand Valley Estates MHC,3-SHENNADOH-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
75374932,Grand Valley Estates MHC,2-DOUBLETREE-CT,Failed Cal,No Water flagged,true,55,X,¾,,0
79460844,Grand Valley Estates MHC,18-SHENNADOH-DR,Failed Cal,No Water flagged,true,55,X,¾,,0
