name,group,land,tiland,prefw,preti,pre_last,pre_met_frac,post_n,post_met,post_last,post_boots,wd
?,The Oaks MHC,09/17 05:14,09/17 05:18,16131,296,Metering,1.0,2,1,Metering,0,0
?,The Oaks MHC,09/16 10:04,09/16 10:06,16185,314,Metering,1.0,4,3,Metering,0,0
?,Smitty's MHP,09/16 07:46,09/16 07:49,17037,344,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 08:04,09/16 08:06,16185,314,Metering,1.0,4,3,Metering,0,0
?,Brian Fries 5YR,09/14 19:31,09/11 22:19,17078,391,Calibrating,0.0,16,0,Calibrating,0,0
?,Aurora MHC,09/14 07:08,09/12 03:19,17078,391,Failed Cal,0.20689655172413793,8,0,Calibrating,0,0
?,Aurora MHC,09/14 09:21,09/14 09:25,17037,344,Metering,0.21052631578947367,6,5,Metering,0,0
?,Westview Mobile Estates MHC,09/16 07:32,09/16 07:35,17037,344,Metering,1.0,10,6,Metering,0,0
?,The Oaks MHC,09/15 08:28,09/15 08:30,17066,372,Metering,0.92,8,7,Metering,0,0
?,Bannock MHP,09/16 10:37,09/16 10:40,17032,344,Metering,0.9473684210526315,2,1,Metering,0,0
?,The Oaks MHC,09/17 03:23,09/17 03:26,16131,296,Metering,1.0,2,1,Metering,0,0
?,Ponderosa MHC,09/15 10:15,09/12 09:16,17078,391,Failed Cal,0.0,3,0,Failed Cal,0,0
?,Running Springs MHP,09/15 07:35,09/12 09:02,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,The Oaks MHC,09/15 10:46,09/12 02:54,17078,391,Metering,0.8518518518518519,6,5,Metering,0,0
?,The Oaks MHC,09/17 03:41,09/17 03:44,16131,296,Metering,1.0,2,1,Metering,0,0
?,Aurora MHC,09/14 08:44,09/14 08:47,17037,344,Metering,0.9444444444444444,6,5,Metering,0,0
?,Highlands MHC,09/14 21:45,09/11 19:17,17078,391,Metering,0.6822429906542056,28,21,Metering,4,0
?,Crystal Acres MHC,09/15 07:34,09/15 07:36,17032,344,Metering,1.0,6,5,Metering,0,0
?,The Oaks MHC,09/17 05:19,09/17 05:22,16131,296,Metering,1.0,2,1,Metering,0,0
?,Rustic Acres MHC,09/14 07:06,09/15 07:11,17037,344,Metering,1.0,7,5,Metering,0,0
?,Holly Tree MHP,09/17 08:13,09/17 08:17,16185,314,Metering,1.0,2,1,Metering,0,0
?,Smitty's MHP,09/16 09:36,09/16 09:39,17037,344,Metering,1.0,4,3,Metering,0,0
?,The Oaks MHC,09/15 07:18,09/15 07:20,16131,296,Metering,1.0,54,52,Metering,1,0
?,Ponderosa MHC,09/15 10:35,09/14 09:30,17078,391,Metering,0.1,8,7,Metering,0,0
?,Haven MHP,09/15 08:33,09/12 08:29,17078,391,Failed Cal,0.08620689655172414,10,5,Calibrating,1,17
?,Holly Tree MHP,09/16 07:51,09/16 07:54,16185,314,Metering,1.0,4,3,Metering,0,0
?,The Oaks MHC,09/17 05:12,09/17 05:13,16131,296,Metering,1.0,6,2,Metering,0,0
?,Hillview MHC,09/15 07:37,09/12 09:01,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Holly Tree MHP,09/16 07:29,09/16 07:32,16185,314,Metering,1.0,3,2,Metering,0,0
?,The Oaks MHC,09/17 04:05,09/17 04:08,16131,296,Metering,1.0,2,1,Metering,0,0
?,Crystal Acres MHC,09/16 08:45,09/16 08:48,17032,344,Metering,1.0,8,4,Metering,0,0
?,Holly Tree MHP,09/16 09:35,09/16 09:38,16185,314,Metering,1.0,4,3,Metering,0,0
?,The Oaks MHC,09/15 04:47,09/15 04:50,16131,296,Metering,1.0,20,17,Metering,2,0
?,Holly Tree MHP,09/16 07:58,09/16 08:01,16185,314,Metering,1.0,4,3,Metering,0,0
?,Ponderosa MHC,09/15 09:25,09/12 09:21,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Kachina,09/15 11:13,09/12 00:40,17078,391,Failed Cal,0.11538461538461539,10,4,Metering,1,0
?,Aurora MHC,09/14 03:47,09/14 03:50,16131,296,Metering,1.0,12,1,Calibrating,6,0
?,Aurora MHC,09/14 07:48,09/14 07:51,17037,344,Metering,0.896551724137931,6,5,Metering,0,0
?,Holly Tree MHP,09/16 09:39,09/16 09:41,16185,314,Metering,1.0,4,3,Metering,0,0
?,The Oaks MHC,09/17 03:47,09/17 03:50,16131,296,Metering,1.0,2,1,Metering,0,0
?,Rustic Acres MHC,09/14 11:31,09/12 10:28,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,TN4,09/15 09:08,09/12 08:37,17078,391,Failed Cal,0.0,6,0,Failed Cal,0,0
?,Sara Drive MHP,09/15 07:27,09/12 04:40,17078,391,Metering,0.9411764705882353,6,5,Metering,0,0
?,Holly Tree MHP,09/16 08:00,09/16 08:03,16185,314,Metering,1.0,8,4,Metering,0,0
?,Green Grove Trailer Court MHC,09/15 04:18,09/12 09:37,17078,391,Metering,0.25,6,0,Failed Cal,0,0
?,Shirlee's MHP,09/16 09:32,09/16 09:34,17060,368,Metering,0.84375,2,1,Metering,0,0
?,Aurora MHC,09/14 05:29,09/14 05:32,16022,260,Metering,1.0,10,8,Metering,1,0
?,Oswego MHP,09/15 09:14,09/12 07:51,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Lake Charles Duplexes,09/15 09:06,09/12 09:13,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Smitty's MHP,09/16 10:17,09/16 10:19,17037,344,Metering,1.0,4,3,Metering,0,0
?,Oakwood MHP,09/14 11:31,09/12 12:34,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,The Oaks MHC,09/17 03:03,09/17 03:06,16131,296,Metering,1.0,2,1,Metering,0,0
?,Ponderosa MHC,09/15 08:11,09/12 08:53,17078,391,Failed Cal,0.0,6,0,Failed Cal,0,0
?,Bannock MHP,09/16 09:03,09/16 09:05,17032,344,Metering,1.0,2,1,Metering,0,0
?,Pace East,09/15 11:48,09/12 07:59,17078,391,Failed Cal,0.0,8,0,Failed Cal,1,0
?,Westview Mobile Estates MHC,09/16 08:06,09/16 08:08,17037,344,Calibrating,0.8,7,0,Failed Cal,2,0
?,Rusk MHC,09/15 09:46,09/12 08:24,17078,391,Calibrating,0.6458333333333334,6,4,Metering,0,0
?,The Oaks MHC,09/17 03:43,09/17 03:46,16131,296,Metering,1.0,2,1,Metering,0,0
?,Rustic Acres MHC,09/14 11:11,09/12 10:28,17078,391,Calibrating,0.0425531914893617,6,0,Calibrating,0,0
?,Rustic Acres MHC,09/14 06:52,09/14 06:54,17037,344,Failed Cal,0.0,6,0,Failed Cal,0,0
?,Holly Tree MHP,09/16 08:59,09/16 09:02,17037,344,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 07:36,09/16 07:39,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 08:23,09/16 08:26,16185,314,Metering,1.0,8,4,Metering,0,0
?,Holly Tree MHP,09/16 07:54,09/16 07:57,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 09:08,09/16 09:10,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 08:36,09/16 08:39,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 08:20,09/16 08:22,16185,314,Metering,1.0,4,3,Metering,0,0
?,103 West Broadway,09/14 11:27,09/12 11:16,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Holly Tree MHP,09/16 07:58,09/16 08:01,16185,314,Metering,1.0,8,4,Metering,0,0
?,Holly Tree MHP,09/17 07:52,09/17 07:55,16185,314,Metering,1.0,2,1,Metering,0,0
?,Holly Tree MHP,09/17 07:49,09/17 07:56,16185,314,Metering,1.0,5,3,Metering,0,0
?,Riverview Apartments MF,09/15 07:30,09/12 08:28,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Holly Tree MHP,09/16 08:03,09/16 08:06,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 08:30,09/16 08:33,16185,314,Metering,1.0,8,2,Calibrating,0,30
