name,devname,Property,pipeType,pipesize,pin_blank,pin_capture,pin_calMinBlank,pin_lFactor,fwVer,fwVerTi,state,gain,env,blank,capture,tnQuietSd,tnQuietN,offset,tofA_us,tofB_us,tofA_ts
3b90ccc0-9bfa-11f0-b5af-5dfa9891b485,CJ 116,CJ,,,,,,,,,,,,,,,,,,,12/31 16:00
4d7968d0-091c-11ed-8b39-15ed4ae7fa88,Device 2041738118,,,,,,,,10561,,Failed Calibration,,,,,,,,,,12/31 16:00
e1e2ddf0-04b4-11ee-b15d-e3ac404013cb,Device 2042742937,,X,¾,,,,,10671,,Standby,,,,,,,,,,12/31 16:00
d53f4210-8573-11ee-b77b-c10d9e19b72d,Device 2049923217,,P,¾,,,,,10693,,Failed Calibration,,,,,,,,,,12/31 16:00
ad9bf6a0-8cba-11ef-b1d9-ff37f0a7cd32,Device 2068614450,,,,,,,,10706,,Standby,,,,,,,,,,12/31 16:00
7a90f490-01f9-11f0-92a4-09772dfb61f8,Device 65821962,Maple Run MHC,,,,,,,15019,219,Not Metering,0,0,0,0,,,0,0.0,0.0,
afc6b510-e30d-11ef-a5fd-a97d57576080,Device 65821970,Estancia MHP,P,¾,,,,,15147,256,Metering,30,44,35,10,,,-2432,41.797752,41.800216,
a336b590-34d7-11f0-8e55-b138a1c03c8e,Device 65821988,,,,,,,,10222,119,Not Metering,0,0,0,,,,0,0.0,0.0,05/19 10:36
79dc7030-027e-11f0-92a4-09772dfb61f8,Device 65821996,Kingsbrook MHC,X,¾,,,,,16131,296,Metering,25,34,25,15,,,-3584,37.226764,37.22624,
e8a41a00-263b-11f0-8272-45e3ef110760,Device 65822002,Canada,X,½,,,,,362,209,Metering,29,38,25,12,,,-448,29.883484,29.883372,
d8938040-e30d-11ef-a5fd-a97d57576080,Device 65822010,Estancia MHP,P,¾,,,,,15147,256,Metering,32,38,35,10,,,2752,39.756952,39.760576,09/18 02:45
af30ae40-e58c-11ef-a76f-4d93d4a482f0,Device 65822028,Estancia MHP,C,¾,35,10,,,16022,260,Not Metering,35,33,35,15,,,0,0.0,0.0,
e86129a0-e308-11ef-a5fd-a97d57576080,Device 65822036,Estancia MHP,C,¾,,,,,16022,260,Metering,24,53,30,15,,,896,35.826588,35.830244,
323c7490-01d5-11f0-92a4-09772dfb61f8,Device 65822044,,,,,,,,10316,0,Not Metering,0,0,0,,,,0,0.0,0.0,01/12 19:09
8cbc57a0-3d8a-11f0-8e55-b138a1c03c8e,Device 65822051,Kingsbrook MHC,X,¾,,,,,16131,296,Metering,40,40,33,15,,,-4864,36.048352,36.049768,
60b51b40-01dc-11f0-92a4-09772dfb61f8,Device 65822069,,,,,,,,16185,314,Not Metering,55,33,25,30,,,0,0.0,0.0,
cb8835e0-e66d-11ef-bcd4-5bcca9a9134f,Device 65822077,,,,,,,,10184,83,Not Metering,40,15,36,,,,0,0.0,0.0,02/28 15:22
a9e047c0-be4a-11ef-8f43-73c96c0de66f,Device 65822085,Rusk MHC,M,½,,,,,10216,102,Not Metering,0,0,25,,,,0,35.256356,35.267336,03/14 11:27
727308f0-3d8d-11f0-8e55-b138a1c03c8e,Device 65822093,Kingsbrook MHC,M,½,,,,,10300,159,Not Metering,62,15,25,,,,0,30.44013,30.445892,07/30 01:48
a412a6e0-cf6f-11ef-8f43-73c96c0de66f,Device 65822101,Forest at Sherman MHC,X,¾,,,,,17088,391,Calibrating,40,30,30,30,,,0,0.0,0.0,
4368a9b0-c93f-11ef-8f43-73c96c0de66f,Device 65822119,TN4,X,¾,35,,,,362,209,Metering,25,43,35,15,,,5568,35.748464,35.7575,09/18 01:36
95368840-be43-11ef-8f43-73c96c0de66f,Device 65822127,The Oaks MHC,P,¾,,,,,17088,391,Metering,28,38,37,15,,,-2268,40.76532,40.761452,
46728240-7cc0-11f0-8b4a-0d0197d44616,Device 65822135,Engineering U2DB Temp Testing,M,¾,,,,,16185,314,Not Metering,20,33,25,30,,,0,0.0,0.0,
cd235b90-d0b1-11ef-8e78-557cf2ce39c0,Device 65822143,,,,,,,,10170,22,Not Metering,0,0,0,,,,0,38.591772,38.590404,01/17 13:00
b121eda0-bb60-11ef-8f43-73c96c0de66f,Device 65822150,RMA Removed,P,¾,,,,,10216,102,Metering,33,50,37,,,,-1615,39.207396,39.201184,07/18 15:35
af791a40-bdbe-11ef-8f43-73c96c0de66f,Device 65822168,Oaklawn Park HOA,C,¾,,,,,15090,254,Metering,23,50,30,15,,,3328,37.080088,37.08456,
77d96420-c7ad-11ef-8f43-73c96c0de66f,Device 65822176,Maple Run MHC,X,¾,,,,,362,209,Metering,18,33,33,15,,,1280,36.781104,36.783544,
4a12fca0-b8e3-11ef-8f43-73c96c0de66f,Device 65822184,Green Acres MHC,P,¾,,,,,10253,119,Not Metering,0,0,0,,,,0,39.79484,39.793796,06/27 04:12
29240280-b976-11ef-8f43-73c96c0de66f,Device 65822192,The Oaks MHC,P,¾,,,,,17088,391,Metering,33,38,36,15,,,-2404,39.49274,39.491096,
8dbd9170-b9a8-11ef-8f43-73c96c0de66f,Device 65822200,Sara Drive MHP,P,¾,,,,,17088,0,TI Silent,0,0,0,0,,,0,39.334544,39.33314,
cf9ec1c0-26a6-11f0-8272-45e3ef110760,Device 65822218,Aurora MHC,X,½,25,,,,16022,260,Metering,20,33,25,12,,,3328,29.266144,29.269592,
4cdb5980-c78b-11ef-8f43-73c96c0de66f,Device 65822226,Virginia Beach,X,¾,,,,,17037,344,Metering,44,45,33,15,,,-2433,36.425124,36.424264,09/14 06:40
cb34b700-be52-11ef-8f43-73c96c0de66f,Device 65822234,Carolina Springs MHP,X,¾,,,,,362,209,Metering,17,33,33,15,,,896,36.156196,36.15842,
3a9159f0-bb65-11ef-8f43-73c96c0de66f,Device 65822242,Estancia MHP,P,¾,,,,,10268,149,Not Metering,43,15,30,,,,0,0.0,0.0,03/13 01:50
3744da10-8473-11f0-8b4a-0d0197d44616,Device 65822259,,,,,,,,10269,153,Not Metering,50,15,40,,,,0,43.956736,43.942876,08/29 17:10
b0f2a040-bb60-11ef-8f43-73c96c0de66f,Device 65822267,Estancia MHP,P,¾,,,,,10268,149,Metering,32,35,30,,,,6130,39.205776,39.208428,09/12 04:27
1348eb00-26b4-11f0-8272-45e3ef110760,Device 65822275,Estancia MHP,P,¾,,,,,16022,260,Not Metering,35,33,0,0,,,0,40.920152,40.92826,
fd211af0-b967-11ef-8f43-73c96c0de66f,Device 65822283,Sara Drive MHP,X,¾,,,,,17088,391,Metering,29,42,33,15,,,-124,35.833936,35.833032,
c4ce19d0-35a6-11f0-8e55-b138a1c03c8e,Device 65822291,La Comunidad MHC,P,¾,35,10,,,16185,314,Metering,35,54,35,15,,,-2176,41.141444,41.140764,
