Gen2 rows 8947; classes below = Metering with a live tofA 20-120 us
class(type,size) n | tofA us: min p5 median p95 max | live blank: min median max | tofA-blank margin: min p5 median | pinned blank n (values)
('X', '¾') n=2556 | 23.1 35.5 36.4 38.3 46.3 | 0 33.0 41 | -9.9 2.6 3.7 | pinned 450 {'33': 435, '35': 7, '34': 3, '45': 1, '38': 1, '0': 1}
('P', '¾') n=1281 | 25.3 36.2 39.4 42.8 46.5 | 0 35 43 | -13.0 0.2 4.0 | pinned 210 {'35': 153, '33': 40, '38': 7, '25': 2, '32': 2, '40': 2}
('X', '½') n=638 | 24.7 28.8 29.5 31.7 44.1 | 25 26.0 40 | -6.9 2.6 3.9 | pinned 59 {'25': 47, '33': 6, '32': 3, '28': 3}
('C', '¾') n=390 | 30.0 35.8 37.1 41.8 46.1 | 0 30.0 43 | -4.6 2.6 6.2 | pinned 21 {'33': 16, '35': 2, '32': 2, '39': 1}
('M', '¾') n=212 | 24.7 30.8 38.4 42.5 46.9 | 25 35.0 43 | -10.3 -0.1 3.9 | pinned 33 {'36': 9, '35': 9, '33': 9, '37': 4, '38': 1, '41': 1}
('', '') n=105 | 24.6 29.6 36.3 43.9 46.5 | 0 25 43 | -1.5 -0.2 8.8 | pinned 0 {}
('P', '½') n=89 | 27.1 29.8 36.0 41.6 45.6 | 25 31 41 | -4.1 0.5 4.3 | pinned 13 {'33': 7, '28': 3, '30': 1, '37': 1, '39': 1}
('M', '½') n=82 | 29.5 30.3 31.7 35.1 38.1 | 22 25.0 33 | -2.0 3.1 6.0 | pinned 7 {'25': 3, '27': 1, '22': 1, '23': 1, '33': 1}
('M', '1') n=51 | 29.2 36.1 45.3 46.3 47.1 | 38 40 45 | -14.8 -6.9 5.1 | pinned 15 {'40': 14, '42': 1}
('L', '¾') n=32 | 34.8 36.3 44.4 45.8 46.3 | 25 35.5 42 | -2.7 3.2 7.2 | pinned 8 {'40': 4, '38': 1, '33': 1, '41': 1, '35': 1}
('X', '1') n=30 | 39.7 39.9 43.0 47.0 47.8 | 36 39.0 44 | -2.1 1.7 4.0 | pinned 3 {'40': 3}
('C', '½') n=25 | 29.5 29.5 32.5 41.7 43.1 | 25 27 39 | 2.5 3.0 4.5 | pinned 4 {'33': 3, '27': 1}
('P', '1') n=24 | 39.3 39.3 46.3 48.0 49.8 | 28 40.0 46 | 1.2 1.8 4.0 | pinned 7 {'40': 3, '43': 1, '42': 1, '36': 1, '45': 1}
('L', '1') n=8 | 46.8 46.8 50.8 53.5 53.5 | 35 42.5 47 | -0.2 -0.2 8.9 | pinned 4 {'45': 3, '40': 1}
('C', '1') n=5 | 42.3 42.3 46.2 49.5 49.5 | 38 43 46 | 1.3 1.3 3.2 | pinned 0 {}
('X', '') n=3 | 32.8 32.8 36.7 38.3 38.3 | 25 26 31 | 5.7 5.7 6.8 | pinned 0 {}
('L', '½') n=2 | 32.7 32.7 33.5 34.3 34.3 | 0 12.5 25 | 7.7 7.7 21.0 | pinned 0 {}
('M', '⅜') n=2 | 27.1 27.1 28.4 29.7 29.7 | 25 25.5 26 | 2.1 2.1 2.9 | pinned 0 {}
('', '¾') n=2 | 36.8 36.8 37.8 38.9 38.9 | 25 29.0 33 | 3.8 3.8 8.8 | pinned 0 {}
('K', '¾') n=2 | 42.4 42.4 42.6 42.7 42.7 | 31 33.5 36 | 6.4 6.4 9.1 | pinned 0 {}
('P', '⅜') n=1 | 31.5 31.5 31.5 31.5 31.5 | 25 25 25 | 6.5 6.5 6.5 | pinned 0 {}
('X', '⅜') n=1 | 29.0 29.0 29.0 29.0 29.0 | 26 26 26 | 3.0 3.0 3.0 | pinned 0 {}
('P', '') n=1 | 34.9 34.9 34.9 34.9 34.9 | 27 27 27 | 7.9 7.9 7.9 | pinned 0 {}
('X', '3/4') n=1 | 36.5 36.5 36.5 36.5 36.5 | 33 33 33 | 3.5 3.5 3.5 | pinned 0 {}
('M', '1 ¼') n=1 | 38.8 38.8 38.8 38.8 38.8 | 35 35 35 | 3.8 3.8 3.8 | pinned 0 {}
('X', '1 ¼') n=1 | 39.8 39.8 39.8 39.8 39.8 | 40 40 40 | -0.2 -0.2 -0.2 | pinned 0 {}
