23:48:15 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
23:51:15 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
23:54:15 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
23:57:16 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
00:00:16 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
00:03:16 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
00:06:17 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
00:09:17 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
00:12:18 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
00:15:18 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
00:18:18 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
00:21:19 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
00:24:19 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
00:27:19 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
00:30:20 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
00:33:20 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
00:36:20 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
00:39:21 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
00:42:21 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
00:45:21 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
00:48:22 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
00:51:22 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
00:54:22 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
00:57:23 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
01:00:23 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
01:03:23 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
01:06:24 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
01:09:24 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
01:12:24 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
01:15:25 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
01:18:25 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
01:21:25 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
01:24:26 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
01:27:26 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
01:30:26 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
01:33:27 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
01:36:27 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
01:39:28 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
01:42:28 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
01:45:28 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
01:48:29 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
01:51:29 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
01:54:29 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
01:57:30 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
02:00:30 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
02:03:30 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
02:06:31 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
02:09:31 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
02:12:31 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
02:15:32 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
02:18:32 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
02:21:32 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
02:24:33 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
02:27:33 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
02:30:33 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
02:33:34 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
02:36:34 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
02:39:34 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
02:42:35 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
02:45:35 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
02:48:35 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
02:51:36 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
02:54:36 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
02:57:36 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
03:00:37 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
03:03:37 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
03:06:38 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
03:09:38 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
03:12:38 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
03:15:39 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
03:18:39 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
03:21:39 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
03:24:40 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
03:27:40 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
03:30:40 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
03:33:40 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
03:36:41 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
03:39:41 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
03:42:41 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
03:45:42 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
03:48:42 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
03:51:42 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
03:54:43 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
03:57:43 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:00:43 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
04:03:44 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
04:06:44 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
04:09:45 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
04:12:45 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:15:45 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
04:18:46 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:21:46 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
04:24:46 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:27:47 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
04:30:47 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
04:33:47 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
04:36:48 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
04:39:48 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:42:49 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
04:45:49 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:48:49 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
04:51:50 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:54:50 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
04:57:50 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:00:51 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:03:51 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:06:51 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:09:52 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:12:52 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:15:52 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:18:53 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:21:53 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:24:53 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:27:54 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:30:54 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:33:54 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:36:55 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:39:55 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:42:55 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:45:56 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:48:56 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:51:56 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:54:57 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:57:57 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
06:00:57 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
06:03:58 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
06:06:58 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
06:09:59 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
06:12:59 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
06:15:59 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
06:19:00 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
06:22:00 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
