id,name,group,lastPost,fwVer,fwVerTi,deviceState,blank,captureDuration,tofA,tnormStddev,tnormMasd,gain,env,upamp,gatedAggs,tiAggCount,meterVal,failedCal,bBootCount,tiParked,tiWdReset,sfHeld,margin_us
002d3980-a260-11f1-a1a6-391af391818e,?,All,09/16 10:42,17088,391,Failed Cal,25,30,None,0,0,55,30,120,0,0,0,true,16,0,0,0,
0077a4c0-6134-11f0-9fcd-87e94e720126,?,The Oaks MHC,09/17 05:18,17088,391,Metering,39,15,42344744,49,74,23,30,588,10,59,32713,false,23,0,0,0,3.34
00ae8530-89fb-11f1-a1a6-391af391818e,?,All,09/16 08:03,17088,391,Calibrating,25,30,0,0,0,40,30,22,0,0,0,false,26,0,0,0,
01f24ab0-8467-11f1-a1a6-391af391818e,?,All,09/17 08:06,17088,391,Calibrating,25,30,24860764,0,0,40,30,30,0,0,0,false,34,0,0,0,-0.14
0211b8d0-26b4-11f0-8272-45e3ef110760,?,The Oaks MHC,09/17 08:06,17088,391,Metering,38,15,41659556,1002,915,31,46,879,75235,79248,16777216,false,29,0,0,0,3.66
02c797e0-86df-11f1-a1a6-391af391818e,?,Smitty's MHP,09/17 07:46,17088,391,Metering,34,15,37139060,2401,1569,28,38,1065,78665,86303,5274.985,false,47,0,0,0,3.14
02dcb340-6c14-11f1-9333-3b2cfe68422f,?,All,09/16 09:24,17088,391,Calibrating,25,30,24876520,0,0,40,30,24,0,0,0,false,28,0,0,0,-0.12
02f0dc70-89ed-11f1-a1a6-391af391818e,?,All,09/17 07:18,17088,391,Failed Cal,25,30,24849810,0,0,55,30,105,0,0,0,true,38,0,0,0,-0.15
0360b4c0-9e5a-11f0-b5af-5dfa9891b485,?,Holly Tree MHP,09/17 07:00,17088,391,Metering,33,15,36352296,38,55,36,46,943,80847,82433,11109.229,false,36,0,0,0,3.35
03eff120-01de-11f1-af1d-29d4205d602a,?,Brian Fries 5YR,09/17 05:11,17088,391,Calibrating,30,30,0,0,0,40,30,30,0,0,0,false,48,0,0,0,
044afe20-9fa1-11f0-b5af-5dfa9891b485,?,All,09/17 07:40,17088,391,Calibrating,25,30,36207892,0,0,40,30,26,0,0,14725,false,25,0,0,0,11.21
046895a0-5bb0-11f0-9fcd-87e94e720126,?,Aurora MHC,09/17 07:33,17088,391,Calibrating,30,30,37208988,0,0,40,30,78,0,0,16864,false,80,0,0,0,7.21
04f042c0-98e6-11f0-b5af-5dfa9891b485,?,All,09/16 12:34,17088,391,Calibrating,25,30,35813396,0,0,40,30,103,0,0,24462,false,9,0,0,0,10.81
04fa0b30-c432-11f0-9842-6d029661c338,?,Aurora MHC,09/16 08:56,17088,391,Metering,33,15,0,23,26,31,42,1253,157504,171064,889.992,false,24,0,0,0,
0516d3c0-8380-11f0-8b4a-0d0197d44616,?,Westview Mobile Estates MHC,09/17 06:42,17088,391,Metering,34,15,34971280,53,1910,34,38,1173,11226,82688,264728.906,false,51,0,0,0,0.97
055c3720-89ed-11f1-a1a6-391af391818e,?,All,09/16 07:20,17088,391,Failed Cal,25,30,0,0,0,55,30,93,0,0,0,true,45,0,0,0,
055e48f0-6674-11f0-8658-7f4e94e41769,?,The Oaks MHC,09/16 09:15,17088,391,Metering,36,15,39574148,128,169,48,46,641,86107,89078,2084.618,false,28,0,0,0,3.57
0568f630-48a3-11f1-bc16-b52012ce6db2,?,All,09/16 10:03,17088,391,Failed Cal,25,30,24844226,0,0,55,30,126,0,0,0,true,48,0,0,0,-0.16
06650470-8ac5-11f1-a1a6-391af391818e,?,All,09/16 09:56,17088,391,Calibrating,25,30,24761374,0,0,40,30,29,0,0,0,false,26,0,0,0,-0.24
068b0f90-5230-11f0-acb1-514e01860b07,?,All,09/16 08:04,17088,391,Calibrating,25,30,0,0,0,40,30,41,0,0,20850,false,34,0,0,0,
0721ba00-98ec-11f0-b5af-5dfa9891b485,?,All,09/17 07:33,17088,391,Calibrating,25,30,0,0,0,40,30,24,0,0,182,false,105,0,0,0,
07898070-9e66-11f0-b5af-5dfa9891b485,?,TI Fota Failure,09/16 11:05,17088,391,Metering,36,15,38982952,48,55,39,38,914,257794,257924,381.787,false,118,0,0,0,2.98
07dd4da0-a260-11f1-a1a6-391af391818e,?,All,09/16 09:11,17088,391,Calibrating,25,30,None,0,0,40,30,25,0,0,0,false,19,0,0,0,
07e79620-65c0-11f1-9333-3b2cfe68422f,?,Bannock MHP,09/16 10:40,17088,391,Metering,33,15,36373560,41,91,27,38,893,1,52,2444.011,false,50,0,0,0,3.37
08e0ba90-f61f-11f0-b153-63024d3301e1,?,GENII Production Failures,09/16 09:05,17088,391,Calibrating,25,30,0,0,0,40,30,15,0,0,0,false,48,0,0,0,
0902b790-8ab6-11f1-a1a6-391af391818e,?,All,09/17 08:13,17088,391,Calibrating,25,15,24808866,0,0,40,30,27,0,0,0,false,22,0,0,0,-0.19
0930c0a0-3ce6-11f0-8e55-b138a1c03c8e,?,The Oaks MHC,09/17 03:26,17088,391,Metering,33,15,36562324,31,40,29,46,928,10,52,13194,false,25,0,0,0,3.56
0942fa90-842b-11f0-8b4a-0d0197d44616,?,Ponderosa MHC,09/16 07:42,17088,391,Failed Cal,30,30,29320204,0,0,55,30,227,0,0,4933,true,120,0,0,0,-0.68
0950cba0-f318-11f0-8900-8bd481ce9a44,?,Running Springs MHP,09/17 08:00,17088,391,Calibrating,35,10,0,0,0,40,30,28,0,0,18,false,57,0,0,0,
09dc55e0-82e2-11f0-8b4a-0d0197d44616,?,The Oaks MHC,09/17 08:19,17088,391,Metering,39,15,42506084,3560,36,28,42,966,153986,163756,19537.799,false,38,0,0,0,3.51
0cdef150-89fb-11f1-a1a6-391af391818e,?,All,09/16 06:54,17088,391,Calibrating,25,30,24763564,0,0,40,30,29,0,0,0,false,23,0,0,0,-0.24
0cf38ac0-89fb-11f1-a1a6-391af391818e,?,All,09/16 08:07,17088,391,Calibrating,25,30,24765912,0,0,40,30,26,0,0,0,false,25,0,0,0,-0.23
0d2ef8f0-8ab2-11f1-a1a6-391af391818e,?,All,09/16 08:09,17088,391,Calibrating,25,30,16641916,0,0,40,30,30,0,0,0,false,24,0,0,0,-8.36
0dcc6c00-8b63-11f1-a1a6-391af391818e,?,All,09/17 07:21,17088,391,Failed Cal,25,30,0,0,0,55,30,108,0,0,0,true,29,0,0,0,
0e41fa60-c6c4-11f0-9842-6d029661c338,?,All,09/16 11:06,17088,391,Calibrating,25,30,0,0,0,40,30,51,0,0,20,false,49,0,0,0,
0e4e4dc0-0c91-11f1-8768-5551e7a34f27,?,GENII Production Failures,09/16 11:03,17088,391,Calibrating,30,30,35789860,0,0,40,30,25,0,0,368,false,45,0,0,0,5.79
0e6d3030-5230-11f0-acb1-514e01860b07,?,The Oaks MHC,09/17 03:44,17088,391,Metering,36,15,39315268,69,110,40,42,882,7,57,9182,false,24,0,0,0,3.32
0ebc60f0-be5c-11ef-8f43-73c96c0de66f,?,Aurora MHC,09/16 07:12,17088,391,Metering,26,15,29329870,60,62,37,46,741,165825,167154,6286.387,false,41,0,0,0,3.33
0f666900-a0c4-11f1-a1a6-391af391818e,?,All,09/16 09:50,17088,391,Calibrating,25,30,None,0,0,40,30,21,0,0,0,false,22,0,0,0,
0ff85ec0-4cd0-11f1-b1bb-f3574cce671d,?,All,09/17 08:11,17088,391,Calibrating,25,30,27872148,0,0,40,30,34,0,0,2,false,31,0,0,0,2.87
10323f40-fe07-11f0-8726-d3fa6d0d96af,?,Highlands MHC,09/17 06:14,17088,391,Metering,33,15,0,209,319,37,38,879,1,56,1012.013,false,115,0,0,0,
109f04d0-d4c8-11f0-b691-d965a62fa4fa,?,Crystal Acres MHC,09/17 07:30,17088,391,Metering,32,15,36068112,34,38,32,42,1008,171389,172454,11550,false,34,0,0,0,4.07
10dc5ac0-be5c-11ef-8f43-73c96c0de66f,?,The Oaks MHC,09/17 05:22,17088,391,Metering,36,15,39389312,2382,982,43,34,755,1,61,35212,false,29,0,0,0,3.39
1144b3c0-6674-11f0-8658-7f4e94e41769,?,Rustic Acres MHC,09/17 07:55,17088,391,Metering,34,15,36356864,473,595,47,46,2901,228927,261528,11965.237,false,43,0,0,0,2.36
11bdfef0-e66e-11ef-bcd4-5bcca9a9134f,?,Holly Tree MHP,09/17 08:17,17088,391,Metering,33,15,37052376,45,56,23,38,1223,14,57,25282,false,18,0,0,0,4.05
1235c9e0-86df-11f1-a1a6-391af391818e,?,Smitty's MHP,09/17 07:35,17088,391,Metering,33,15,36463068,40,35,24,42,812,77476,78972,1452.752,false,40,0,0,0,3.46
12a48990-8ab6-11f1-a1a6-391af391818e,?,All,09/17 07:44,17088,391,Failed Cal,25,30,24753100,0,0,55,30,115,0,0,0,true,24,0,0,0,-0.25
131ac500-8af8-11f1-a1a6-391af391818e,?,All,09/17 07:09,17088,391,Failed Cal,25,30,0,0,0,55,30,108,0,0,0,true,26,0,0,0,
13391fd0-8b63-11f1-a1a6-391af391818e,?,All,09/16 08:27,17088,391,Failed Cal,25,30,0,0,0,55,30,118,0,0,0,true,30,0,0,0,
13573470-a92d-11f0-98a7-c3bc57f9afe3,?,The Oaks MHC,09/17 08:00,17088,391,Metering,33,15,36947588,75,103,33,54,812,156144,170944,14271.517,false,64,0,0,0,3.95
13aadcb0-8420-11f0-8b4a-0d0197d44616,?,Ponderosa MHC,09/17 08:18,17088,391,Metering,34,15,36666104,1197,1675,49,46,2766,108774,163636,46591.258,false,79,0,0,0,2.67
1424c550-8ad4-11f1-a1a6-391af391818e,?,All,09/16 08:30,17088,391,Failed Cal,25,30,24848904,0,0,55,30,143,0,0,0,true,27,0,0,0,-0.15
14d2b740-4cc8-11f1-b1bb-f3574cce671d,?,Haven MHP,09/16 09:46,17088,391,Calibrating,33,15,36040520,0,1443,40,30,50,20963,42531,101.641,false,46,0,17,0,3.04
14dc6fd0-8ac4-11f1-a1a6-391af391818e,?,All,09/16 09:06,17088,391,Calibrating,25,30,24749032,0,0,40,30,23,0,0,0,false,24,0,0,0,-0.25
15ca2180-255d-11f0-8272-45e3ef110760,?,Holly Tree MHP,09/17 07:16,17088,391,Metering,33,15,36446420,51,60,23,42,895,81221,84188,21556.029,false,49,0,0,0,3.45
15d78520-26b4-11f0-8272-45e3ef110760,?,The Oaks MHC,09/17 07:35,17088,391,Metering,34,15,39232728,949,381,43,38,284,10,67,14151.014,false,26,0,0,0,5.23
162a3200-8b73-11f1-a1a6-391af391818e,?,All,09/16 06:49,17088,391,Calibrating,25,30,24848388,0,0,40,30,24,0,0,0,false,39,0,0,0,-0.15
16b5b290-01de-11f1-af1d-29d4205d602a,?,Hillview MHC,09/16 07:43,17088,391,Failed Cal,38,30,47363148,0,0,55,30,102,0,0,13605,true,73,0,0,0,9.36
173a8350-9b47-11f1-a1a6-391af391818e,?,All,09/16 06:35,17088,391,Calibrating,25,30,None,0,0,40,30,99,0,0,0,false,15,0,0,0,
178c7a20-86de-11f1-a1a6-391af391818e,?,All,09/16 09:30,17088,391,Calibrating,25,30,24826520,0,0,40,30,28,0,0,0,false,38,0,0,0,-0.17
