name,group,hwRev,install,first_post_in_window,ti_died,days_in_field_at_death,ti_ver_before,st_at_death,prior_ti_silent_episodes,code68_storm,last_post,id,status
75365971,Noble Estates MHC-Cust,G,2026-06-16,2026-05-27,2026-09-06,82,296,16185,0,no,09/13 02:31,e7a13a10-5a07-11f1-b1bb-f3574cce671d,DEAD
72716360,Virginia Beach HOA - Cust,G,2026-06-14,2025-12-08,2026-09-13,91,296,16193,1,no,09/13 08:01,9592ae00-d4c1-11f0-b691-d965a62fa4fa,DEAD
65830807,Ponderosa MHC,G,2026-05-05,2025-08-13,2026-08-17,104,260,16185,1,no,09/12 10:55,f8527150-ea3a-11ef-b35e-23eef2ba43da,DEAD
79462923,Virginia Beach HOA - Cust,G,2026-05-22,2026-05-11,2026-09-13,114,391,17078,2,yes,09/13 10:37,b7ccad80-4d76-11f1-b1bb-f3574cce671d,DEAD
70269335,Carolina Springs MHP-CUST,G,2026-03-27,2025-10-02,2026-09-09,167,209,362,1,no,09/13 07:41,7363e670-9fd6-11f0-b5af-5dfa9891b485,DEAD
72718606,Azulejo,G,2025-12-30,2025-12-12,2026-07-23,205,209,362,1,no,09/13 08:02,82cfe210-d79b-11f0-b691-d965a62fa4fa,DEAD
72381773,Ontario Place MHC-CUST,G,2025-11-23,2025-10-02,2026-09-06,287,314,16185,2,no,09/13 09:15,9b90fef0-9fc5-11f0-b5af-5dfa9891b485,DEAD
70262942,Lafountaine MHC,G,2025-09-19,2025-08-28,2026-09-09,354,296,16131,1,no,09/09 08:45,a366d840-84a2-11f0-8b4a-0d0197d44616,DEAD
75369957,Round Lake MHP,G,2026-06-04,2026-02-17,"9/11, back at 344 on 9/13",99 (recovered),344,17037,1,no,09/12 11:32,d05ac350-0c67-11f1-8768-5551e7a34f27,RECOVERED - drop from dead list
75361137,Roosevelt MHC,G,2026-06-24,2026-05-20,intermittent since 8/13 (16 of 66 days at 0),50 (first episode),392,17080,14,yes,09/13 10:31,d502fe10-5486-11f1-b1bb-f3574cce671d,"CHRONIC INTERMITTENT, code 6/8 class, alive on 392 today"
