id,group,groups,class,last_post,age_d,posts_24h,boots_24h,fwVer,fwVerTi,tiUartVer,bBootCount,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,VddAdc,deviceState,failedCal,tiError,tiRecoveryExhausted,tiParked,sfProbeHeld,radioOveruseCnt,meterVal,tiBootCnt
1f1e1820-ad45-11f0-98a7-c3bc57f9afe3,Stevens Park MHC,2,stale,05/10 07:40,126.1,0,,16022,260,,21,6,,0,,3627,Not Metering,,00000000 00000000 00000000 0000E000 00000100 00000000 00000000 00000000,,,,2,1670,
da4fce50-ad44-11f0-98a7-c3bc57f9afe3,Stevens Park MHC,2,stale,11/15 09:34,302.0,0,,10292,159,,12,4,,,,,Not Metering,,,,,,1,0,
7b2b3a50-ad43-11f0-98a7-c3bc57f9afe3,Stevens Park MHC,2,stale,06/02 04:59,103.2,0,,16048,272,,23,6,0,0,,3642,Not Metering,,00000000 00000000 00000000 00004000 00000000 00000000 00000000 00000000,0,,,2,37,
797e4da0-ad43-11f0-98a7-c3bc57f9afe3,Stevens Park MHC,2,stale,03/30 14:57,166.8,0,,10292,0,,1,12,,,,,Not Metering,,,,,,2,0,
773791f0-ad43-11f0-98a7-c3bc57f9afe3,Stevens Park MHC,2,stale,11/30 04:06,287.2,0,,10237,0,,14,6,,,,,Not Metering,,,,,,1,0,
75361ca0-ad43-11f0-98a7-c3bc57f9afe3,Stevens Park MHC,2,stale,07/25 07:14,50.1,0,,16185,0,0,3,6,0,0,0,2681,Not Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,0,0
662d1510-ad43-11f0-98a7-c3bc57f9afe3,Stevens Park MHC,2,stale,01/02 03:24,254.2,0,,10300,159,,18,4,,,,,Metering,,,,,,3,0,
61e29a20-ad43-11f0-98a7-c3bc57f9afe3,Stevens Park MHC,2,stale,06/02 04:24,103.2,0,,16048,272,,23,6,0,0,,3636,Not Metering,,00000000 00000000 00000000 00004000 00000000 00000000 00000000 00000000,0,,,2,93269,
af640a90-3d81-11f0-8e55-b138a1c03c8e,Stevens Park MHC,2,stale,10/06 06:26,342.1,0,,10237,133,,1,12,,,,,Not Metering,,,,,,1,369.384,
cf6d9300-3d78-11f0-8e55-b138a1c03c8e,Stevens Park MHC,2,stale,09/08 04:03,370.2,0,,10237,133,,1,12,,,,,Not Metering,,,,,,1,150,
c7ac19c0-3d78-11f0-8e55-b138a1c03c8e,Stevens Park MHC,2,stale,09/26 05:17,352.2,0,,10237,133,,26,4,,,,,Metering,,,,,,1,25202.477,
c4783ef0-3d78-11f0-8e55-b138a1c03c8e,Stevens Park MHC,2,stale,10/01 03:18,347.3,0,,10237,133,,32,4,,,,,Metering,,,,,,1,5743.856,
c2e87730-3d78-11f0-8e55-b138a1c03c8e,Stevens Park MHC,2,stale,08/04 03:43,405.3,0,,10237,133,,1,12,,,,,Not Metering,,,,,,1,1282,
c0f38500-3d78-11f0-8e55-b138a1c03c8e,Stevens Park MHC,2,stale,10/17 21:38,330.5,0,,10222,133,,2,6,,,,,Not Metering,,,,,,1,7581.324,
0006eca0-8496-11f0-8b4a-0d0197d44616,Roosevelt MHC,2,ok,09/13 05:44,0.2,1,0,16131,296,,1636,4,0,0,,3676,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,9103.885,
000b41f0-3d93-11f0-8e55-b138a1c03c8e,Piney Park,2,ok,09/12 08:10,1.1,0,0,16185,314,314,15,4,0,0,0,3665,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,431.114,17
002a9b90-8375-11f0-8b4a-0d0197d44616,Westview Mobile Estates MHC,2,ok,09/13 06:59,0.1,2,0,16185,314,314,45,6,0,0,1,3648,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,71069.648,1
002b9290-ad83-11ed-8426-5912eec2be3c,All,2,stale,02/26 03:31,564.2,0,,10671,,,161,20,,,,,Standby,,,,,,1,20199,
002ce9d0-8b51-11ef-b1d9-ff37f0a7cd32,Maple Grove MHC,2,stale,12/12 21:23,274.5,0,,10706,,,80,36,,,,,Failed Calibration,,,,,,5,6809,
002d3980-a260-11f1-a1a6-391af391818e,All,2,failed_cal,09/12 11:15,0.9,2,0,17037,344,344,14,4,0,0,1,3672,Failed Cal,true,00000000 00000000 00000000 0000E000 00000380 00000000 00000000 00000000,0,,,1,0,6
003297a0-5bb1-11f0-9fcd-87e94e720126,All,2,stale,07/27 01:40,413.3,0,,12253,146,,13,4,,,,,Not Metering,,,,,,1,0,
00395400-bbc2-11ed-8426-5912eec2be3c,All,2,stale,04/17 13:27,878.9,0,,10660,,,133,6,,,,,Standby,,,,,,1,561,
003ec130-9367-11ec-a577-bf676923aa1d,The Lowell,2,stale,10/08 15:43,704.8,0,,10671,,,45,20,,,,,Metering,,,,,,1,11046,
0041e4a0-dacb-11f0-b691-d965a62fa4fa,All,2,stale,12/16 14:13,270.8,0,,10300,159,,12,4,,,,,Not Metering,,,,,,1,0,
00433760-f65a-11f0-b153-63024d3301e1,Hydetown Mobile Estates,2,ok,09/13 05:11,0.2,1,0,15091,255,,19,6,,0,,3646,Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,1,14458.867,
