class,id,group,last_post,fwVer,fwVerTi,tiUartVer,boots_24h,posts_24h,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,deviceState,VddAdc,meterVal
ti_dead,82cfe210-d79b-11f0-b691-d965a62fa4fa,Azulejo,09/13 08:02,362,0,,0,2,6,,612,,Metering,3657,23167.932
ti_dead,a366d840-84a2-11f0-8b4a-0d0197d44616,Lafountaine MHC,09/09 08:45,16131,0,,0,0,36,296,3,,Not Metering,3504,28754.721
ti_dead,d05ac350-0c67-11f1-8768-5551e7a34f27,Round Lake MHP,09/12 11:32,17037,0,0,0,1,6,0,0,0,TI Silent,3540,7046.221
ti_dead,d502fe10-5486-11f1-b1bb-f3574cce671d,Roosevelt MHC,09/13 10:31,17080,0,0,0,0,6,0,0,1,TI Silent,3627,32640
ti_dead,f8527150-ea3a-11ef-b35e-23eef2ba43da,Ponderosa MHC,09/12 10:55,16185,0,0,0,1,4,0,0,0,Not Metering,3475,105498
ti_dead,9b90fef0-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,09/13 09:15,17080,0,0,17,44,20,0,0,47,TI Silent,3543,12124.571
ti_dead,b7ccad80-4d76-11f1-b1bb-f3574cce671d,Virginia Beach HOA - Cust,09/13 10:37,17086,0,0,37,78,6,391,3,126,TI Silent,3576,2400
ti_dead,9592ae00-d4c1-11f0-b691-d965a62fa4fa,Virginia Beach HOA - Cust,09/13 08:01,16193,0,0,0,2,12,0,0,0,Not Metering,2794,15396
ti_dead,7363e670-9fd6-11f0-b5af-5dfa9891b485,Carolina Springs MHP-CUST,09/13 07:41,362,0,,0,4,6,,54,,Metering,3625,19098.92
ti_dead,e7a13a10-5a07-11f1-b1bb-f3574cce671d,Noble Estates MHC-Cust,09/13 02:31,16185,0,0,0,3,6,0,0,0,Not Metering,3548,18
boot_looper,432f1b80-26a7-11f0-8272-45e3ef110760,Aurora MHC,09/13 09:52,17037,344,344,7,10,4,0,0,1,Failed Cal,3565,48346
boot_looper,639de2e0-a642-11f1-a1a6-391af391818e,Aurora MHC,09/13 07:51,17037,344,344,9,13,4,0,0,1,Metering,3651,0.335
