rec,date,time,bar,close,high,low,f1,f2,f3
A,1260728,1100,7,61.89,62.51,61.56,U,6,62.6100
L,1260728,1400,10,61.77,62.00,61.30,U,0,62.1033
A,1260728,1500,11,61.97,62.02,61.71,L,4,59.4000
L,1260728,1500,11,61.97,62.02,61.71,U,0,61.9767
L,1260728,1500,11,61.97,62.02,61.71,L,0,61.6167
L,1260728,1600,12,60.45,62.14,60.45,U,0,61.8500
L,1260728,1600,12,60.45,62.14,60.45,L,0,61.9333
X,1260728,1600,12,60.45,62.14,60.45,61.8738
L,1260728,1700,13,62.68,62.69,60.29,U,0,61.7233
L,1260728,1700,13,62.68,62.69,60.29,L,0,62.2500
A,1260729,200,14,61.42,61.79,59.73,U,13,62.6900
L,1260729,200,14,61.42,61.79,59.73,L,0,62.5667
L,1260729,300,15,62.19,62.45,61.41,L,0,59.7630
L,1260729,300,15,62.19,62.45,61.41,L,1,62.8833
L,1260729,400,16,61.72,62.33,61.62,U,0,62.3300
L,1260729,400,16,61.72,62.33,61.62,L,0,59.7960
L,1260729,400,16,61.72,62.33,61.62,L,1,63.2000
L,1260729,500,17,62.07,62.21,61.64,U,0,62.2100
L,1260729,500,17,62.07,62.21,61.64,L,0,59.8290
L,1260729,500,17,62.07,62.21,61.64,L,1,63.5167
L,1260729,600,18,61.47,62.10,61.06,U,0,62.0900
L,1260729,600,18,61.47,62.10,61.06,L,0,59.8620
L,1260729,600,18,61.47,62.10,61.06,L,1,63.8333
L,1260729,700,19,60.32,62.04,59.87,U,0,61.9700
L,1260729,700,19,60.32,62.04,59.87,L,0,59.8950
L,1260729,700,19,60.32,62.04,59.87,L,1,64.1500
L,1260729,800,20,59.44,60.93,58.85,U,0,61.8500
L,1260729,800,20,59.44,60.93,58.85,L,0,59.9280
L,1260729,800,20,59.44,60.93,58.85,L,1,64.4667
L,1260729,900,21,58.89,59.81,58.54,U,0,61.7300
L,1260729,900,21,58.89,59.81,58.54,L,0,59.9610
L,1260729,900,21,58.89,59.81,58.54,L,1,64.7833
L,1260729,1000,22,59.43,59.45,58.17,U,0,61.6100
L,1260729,1000,22,59.43,59.45,58.17,L,0,59.9940
L,1260729,1000,22,59.43,59.45,58.17,L,1,65.1000
A,1260729,1100,23,60.20,60.41,59.41,L,22,58.1700
