FanMode,Lookback,MaxPairs,LevelTolATR,MinCount,MinDensity,MaxDistATR,n,toward5,reach10,mirror10,edge,fwd5_mean,fwd5_up,n_above,up5_above,n_below,up5_below
1,0,,0.25,3,0.0,,288,49.8,59.4,61.1,-1.7,0.84,55.9,150,55.3,143,55.9
1,0,,0.25,3,0.0,2.0,222,49.3,67.1,71.2,-4.1,0.67,54.1,125,52.8,102,54.9
1,0,,0.25,3,0.25,,2,0.0,0.0,50.0,-50.0,-11.65,0.0,2,0.0,0,nan
1,0,,0.25,4,0.0,,213,50.9,59.6,62.0,-2.3,1.47,56.8,116,56.9,98,56.1
1,0,,0.25,4,0.0,2.0,173,50.0,67.1,71.7,-4.6,1.16,54.3,97,53.6,77,54.5
1,0,,0.25,5,0.0,,143,51.7,56.6,61.5,-4.9,0.74,53.8,88,54.5,55,52.7
1,0,,0.25,5,0.0,2.0,117,47.9,64.1,72.6,-8.5,0.32,51.3,71,49.3,46,54.3
1,0,,0.25,7,0.0,,40,47.5,55.0,62.5,-7.5,-0.68,35.0,27,37.0,13,30.8
1,0,,0.25,7,0.0,2.0,34,44.1,58.8,67.6,-8.8,-1.05,32.4,24,33.3,10,30.0
1,0,,0.35,3,0.0,,326,53.8,65.3,55.8,9.5,1.16,57.1,167,60.5,164,53.0
1,0,,0.35,3,0.0,2.0,251,53.6,72.9,66.5,6.4,0.98,54.2,127,57.5,129,50.4
1,0,,0.35,3,0.25,,5,40.0,60.0,40.0,20.0,3.38,40.0,5,40.0,0,nan
1,0,,0.35,3,0.25,2.0,3,66.7,100.0,33.3,66.7,13.39,66.7,3,66.7,0,nan
1,0,,0.35,3,0.33,,1,0.0,0.0,100.0,-100.0,-15.11,0.0,1,0.0,0,nan
1,0,,0.35,4,0.0,,254,54.2,65.4,55.9,9.4,1.05,55.9,129,59.7,128,51.6
1,0,,0.35,4,0.0,2.0,201,54.5,73.1,66.2,7.0,0.91,52.7,98,57.1,106,48.1
1,0,,0.35,4,0.25,,4,50.0,75.0,50.0,25.0,6.27,50.0,4,50.0,0,nan
1,0,,0.35,4,0.25,2.0,3,66.7,100.0,33.3,66.7,13.39,66.7,3,66.7,0,nan
1,0,,0.35,4,0.33,,1,0.0,0.0,100.0,-100.0,-15.11,0.0,1,0.0,0,nan
1,0,,0.35,5,0.0,,195,58.8,66.7,55.4,11.3,0.59,52.8,114,59.6,84,42.9
1,0,,0.35,5,0.0,2.0,161,57.5,74.5,64.0,10.6,0.16,48.4,89,55.1,75,40.0
1,0,,0.35,5,0.25,,3,66.7,100.0,33.3,66.7,13.39,66.7,3,66.7,0,nan
1,0,,0.35,5,0.25,2.0,3,66.7,100.0,33.3,66.7,13.39,66.7,3,66.7,0,nan
1,0,,0.35,7,0.0,,86,58.1,60.5,53.5,7.0,0.39,47.7,51,54.9,35,37.1
1,0,,0.35,7,0.0,2.0,70,52.9,71.4,64.3,7.1,0.18,41.4,38,44.7,32,37.5
1,0,,0.5,3,0.0,,340,52.5,64.1,58.8,5.3,1.24,57.9,173,60.1,172,55.2
1,0,,0.5,3,0.0,2.0,271,53.3,72.0,65.7,6.3,1.03,55.7,138,58.7,138,52.2
1,0,,0.5,3,0.25,,40,57.5,75.0,60.0,15.0,1.85,62.5,30,63.3,10,60.0
1,0,,0.5,3,0.25,2.0,35,62.9,82.9,60.0,22.9,3.16,68.6,25,72.0,10,60.0
1,0,,0.5,3,0.33,,5,60.0,60.0,60.0,0.0,4.4,60.0,3,66.7,2,50.0
1,0,,0.5,3,0.33,2.0,4,75.0,75.0,50.0,25.0,9.27,75.0,2,100.0,2,50.0
1,0,,0.5,4,0.0,,289,53.8,67.1,57.4,9.7,0.95,57.1,151,60.3,143,53.1
1,0,,0.5,4,0.0,2.0,234,54.9,74.8,63.7,11.1,0.5,53.4,119,58.0,120,48.3
1,0,,0.5,4,0.25,,39,59.0,76.9,61.5,15.4,2.1,64.1,29,65.5,10,60.0
1,0,,0.5,4,0.25,2.0,35,62.9,82.9,60.0,22.9,3.16,68.6,25,72.0,10,60.0
1,0,,0.5,4,0.33,,5,60.0,60.0,60.0,0.0,4.4,60.0,3,66.7,2,50.0
1,0,,0.5,4,0.33,2.0,4,75.0,75.0,50.0,25.0,9.27,75.0,2,100.0,2,50.0
1,0,,0.5,5,0.0,,246,55.5,68.7,56.1,12.6,0.86,54.9,137,59.1,112,49.1
1,0,,0.5,5,0.0,2.0,203,56.4,76.4,62.6,13.8,0.56,51.7,110,57.3,96,44.8
1,0,,0.5,5,0.25,,34,58.8,76.5,61.8,14.7,3.54,67.6,27,66.7,7,71.4
1,0,,0.5,5,0.25,2.0,31,61.3,80.6,61.3,19.4,4.32,71.0,24,70.8,7,71.4
1,0,,0.5,5,0.33,,4,75.0,75.0,50.0,25.0,9.27,75.0,2,100.0,2,50.0
1,0,,0.5,5,0.33,2.0,4,75.0,75.0,50.0,25.0,9.27,75.0,2,100.0,2,50.0
1,0,,0.5,7,0.0,,146,57.2,61.0,56.8,4.1,0.77,52.7,85,58.8,61,44.3
1,0,,0.5,7,0.0,2.0,119,55.9,71.4,63.0,8.4,0.78,50.4,64,56.2,55,43.6
1,0,,0.5,7,0.25,,25,64.0,72.0,64.0,8.0,3.34,76.0,20,75.0,5,80.0
1,0,,0.5,7,0.25,2.0,22,68.2,77.3,63.6,13.6,4.41,81.8,17,82.4,5,80.0
