serial,property,apartment,fwVer,fwVerTi,gain,up_ppk,dn_ppk,qual,tnormStddev
79464101,Blue Sky Village MHC,21,16131,296,55,3040,3035,100,639
70272479,Eastwood Hills MHC,EH7,16185,314,55,3036,2793,100,1187
72380999,Aurora MHC,260,16131,296,50,2999,2854,100,390
70266620,PW2,3124LINDA,17037,344,47,2942,2820,100,2128
72381559,Rustic Acres MHC,54,16185,314,55,2919,2820,100,287
70260342,Kingsbrook MHC,306CA,16131,296,55,2895,2881,100,848
65825047,Estancia MHP,134,16185,314,50,2886,2987,100,113
75361038,Parkway MHC,65,16130,296,55,2852,2775,100,866
72386574,Chickadee Lane MHC,822-CHICKADEE,16185,314,45,2846,2850,100,1038
72383464,Whispering Pines Mobile Estates,404,16185,314,55,2814,2902,100,95
79461966,Paola MHC,14,16185,314,50,2805,2678,100,402
79455703,Shirlee's MHP,7,17032,344,47,2794,2909,100,788
72384587,Virginia Beach,168,17037,344,47,2778,2949,100,1548
79461909,Shirlee's MHP,1,17032,344,55,2777,2760,100,4252
79461131,Holly Tree MHP,32,16185,314,50,2776,2685,100,4559
72714977,Kay Bee Mobile Villa MHP,8,16131,296,45,2768,2593,100,2015
79455877,Shirlee's MHP,5,17032,344,44,2755,2861,100,1021
72390287,Virginia Beach,82,17037,344,53,2754,2753,100,1135
75363125,Kay Lou MHC,2621-M,16131,296,50,2741,2699,100,1725
79459408,Shirlee's MHP,15,17032,344,53,2740,2796,100,2441
70258619,Green Grove Trailer Court MHC,21,16131,296,45,2726,2710,100,1099
72385006,Virginia Beach,148,17037,344,41,2723,2583,100,3155
79463319,Virginia Beach,171,17037,344,55,2720,2733,100,365
72382995,Virginia Beach,93,17037,344,44,2705,2736,100,1421
79465835,Rustic Acres MHC,1,17037,344,41,2687,2824,66,5278
70268923,Rustic Acres MHC,44,16185,314,55,2679,2716,100,50
70262447,Whispering Pines Mobile Estates,317,17037,344,50,2642,2498,66,5213
70272222,Rusk MHC,2A,17037,344,47,2639,2669,100,2421
72385733,Virginia Beach,207,17037,344,44,2624,2524,100,1784
79459929,Shirlee's MHP,9,17032,344,47,2609,2773,100,397
70263254,PW2,5189JUSTIN,16185,314,55,2585,2333,100,4808
72716113,Riverview Apartments MF,28,17037,344,44,2580,2565,100,2480
75373819,Rush MHC,10,17037,344,47,2538,2516,100,1160
65826979,PW2,3107LINDA,16185,314,45,2517,2538,100,2262
75366706,Roosevelt MHC,18,16131,296,50,2510,2513,100,437
75367571,Stafford MHC,526,17037,344,44,2508,2503,100,4825
70272669,Parker MHC,29,17037,344,47,2500,2501,100,2887
75361244,Cactus Flower,Laundry,17037,344,50,2493,2301,100,2356
72392325,Virginia Beach,143,17037,344,50,2491,2736,100,3494
72387259,Crystal Acres MHC,45,17032,344,44,2481,2669,100,2013
70271877,Hillview MHC,19A,17037,344,55,2471,2367,100,322
72383928,Sunnyvale MHP,119,16131,296,45,2454,2465,100,2713
72724075,Oak Forest Estate MHC,32,17037,344,50,2448,2564,100,1075
72382508,Virginia Beach,195,17037,344,41,2441,2613,100,890
77053264,Aurora MHC,210,16131,296,45,2434,2599,100,1720
75367100,Shady Lane MHP,5033 Spruce Lane,17037,344,41,2434,2393,100,1111
75361251,Broadway MHP DesMoines,26,17037,344,35,2419,2604,100,3322
79461768,Shady Lane MHP,21 Maple Lane,17028,341,44,2411,2574,100,2200
65824586,Ontario Place MHC,5,16185,314,40,2402,2370,100,2859
79466676,Shirlee's MHP,6,17032,344,55,2350,2333,100,443
72391418,Sunview MHP,21,17037,344,41,2347,2753,66,6738
70262256,Ontario Place MHC,58,16185,314,50,2345,2275,100,478
72381633,Crystal Acres MHC,43A,17032,344,47,2345,2342,100,469
79458236,Broadway MHP DesMoines,14,17037,344,50,2304,2303,100,3847
77055632,Kingsbrook MHC,724MI,16131,296,45,2293,2201,100,307
79462733,Holly Tree MHP,83,16185,314,40,2281,2164,100,509
79462022,Holly Tree MHP,68,16185,314,40,2273,2207,100,290
72385741,Roosevelt MHC,59,16131,296,40,2266,2277,100,328
79465926,Grand Valley Estates MHC,12-WOODLYNVALLEY-DR,17037,344,32,2256,2239,100,281
72382722,Ponderosa MHC,17,17037,344,35,2252,2143,100,701
72392309,Virginia Beach,132,17037,344,38,2250,2195,100,416
75374494,Highlands MHC,9A,17037,344,44,2249,2331,100,572
75366326,Oswego MHP,LOT12,17037,344,44,2242,2228,100,380
75363885,Kay Lou MHC,2604-M,16131,296,50,2241,2276,100,245
77058370,Oak Forest Estate MHC,22,17037,344,35,2239,2223,100,161
75366912,Virginia Beach,86,17037,344,38,2239,2192,100,478
68584240,Parkview MHP,42,17037,344,44,2238,2192,100,376
65829684,Ponderosa MHC,27,17037,344,44,2209,2192,100,472
75365625,Grand Valley Estates MHC,136-SONOMAVALLEY-DR,17037,344,35,2204,2233,100,302
75365567,Roosevelt MHC,85,16131,296,50,2204,2245,100,495
72380049,Virginia Beach,215,17037,344,47,2200,2252,100,410
79456487,Virginia Beach,201,17037,344,38,2189,2213,100,468
75368181,Broadway MHP DesMoines,25,17037,344,44,2186,2328,100,793
72724216,Shelby's Trailer Park,LOT16,16131,296,35,2183,2154,100,220
72381708,Rusk MHC,54,17037,344,38,2177,2064,100,250
72380452,Sunnyvale MHP,133,16131,296,40,2176,2168,100,564
70267495,Parkview MHP,12,16185,314,40,2174,2285,100,332
70266117,Backwater MHC,38,17032,344,41,2173,2265,100,628
75372910,Running Springs MHP,15,17037,344,38,2172,2174,100,289
72386228,Virginia Beach,199,17037,344,41,2158,2220,100,204
72379447,Ontario Place MHC,99,16185,314,55,2149,2140,100,376
72391269,Holly Tree MHP,76,16185,314,50,2144,2207,100,298
77061804,Hydetown Mobile Estates,5,16131,296,55,2143,2160,100,346
75496388,Virginia Beach,91,17037,344,41,2140,2038,100,265
75371227,Heritage Apartments,201,16131,296,35,2140,2077,100,66
70260474,Backwater MHC,46,17032,344,35,2126,2053,100,221
