group,lever,serial,id,apt,tier,reported,draws,pos,neg,waterFlowDir_to_write
103 West Broadway,362/209,72714100,0d3c9ff0-d4c8-11f0-b691-d965a62fa4fa,117-3,PIN-B,FLIPPED,FLIPPED,215,1177,2
176 N Highland Ave,16022/260,77042051,52bbc040-26ce-11f0-8272-45e3ef110760,FIRSTSOUTH,PIN,FLIPPED,FLIPPED,7,1025,2
176 N Highland Ave,16022/260,72382342,5ab1ab40-8379-11f0-8b4a-0d0197d44616,FLOOR2,PIN,NOT FLIPPED,NOT FLIPPED,1769,156,1
8 OnElaine,15154/260,72718515,fb5b28c0-d7a0-11f0-b691-d965a62fa4fa,2314-1101,PIN,NOT FLIPPED,NOT FLIPPED,4014,0,1
8 OnElaine,15154/260,72717962,7e18c2a0-d79b-11f0-b691-d965a62fa4fa,2314-1102,PIN,NOT FLIPPED,NOT FLIPPED,5656,0,1
8 OnElaine,15154/260,72716295,c0a35bf0-c75e-11f0-9842-6d029661c338,2318-1102,PIN,FLIPPED,FLIPPED,2,2469,2
Alta Vista MHC-CUST,363/219,65824784,24f44770-e5a8-11ef-a76f-4d93d4a482f0,1,PIN,FLIPPED,FLIPPED,4,5641,2
Alta Vista MHC-CUST,363/219,65825716,e8428130-e641-11ef-bcd4-5bcca9a9134f,15,PIN-B,NOT FLIPPED,NOT FLIPPED,1933,678,1
Alta Vista MHC-CUST,363/219,65823034,76f6bc20-e313-11ef-a5fd-a97d57576080,16,PIN,NOT FLIPPED,NOT FLIPPED,5142,0,1
Alta Vista MHC-CUST,363/219,75369874,9e9d5760-47f4-11f1-969c-6109d9dfb138,2,PIN,FLIPPED,FLIPPED,48,5243,2
Alta Vista MHC-CUST,363/219,65823901,14cb9650-be5c-11ef-8f43-73c96c0de66f,20,PIN,FLIPPED,FLIPPED,59,5099,2
Alta Vista MHC-CUST,363/219,75365476,212ab880-47fa-11f1-969c-6109d9dfb138,25,PIN,FLIPPED,FLIPPED,4,5773,2
Alta Vista MHC-CUST,363/219,65831821,f0c4a280-cf70-11ef-8f43-73c96c0de66f,26,PIN,FLIPPED,FLIPPED,13,5767,2
Alta Vista MHC-CUST,363/219,77056143,e44d4d80-35a6-11f0-8e55-b138a1c03c8e,27,PIN,FLIPPED,FLIPPED,0,5322,2
Alta Vista MHC-CUST,363/219,65831342,accc2810-c795-11ef-8f43-73c96c0de66f,29,PIN,NOT FLIPPED,NOT FLIPPED,5918,0,1
Alta Vista MHC-CUST,363/219,70271356,fee915f0-5213-11f0-acb1-514e01860b07,30,PIN,FLIPPED,FLIPPED,0,4300,2
Alta Vista MHC-CUST,363/219,65830856,1ef32de0-c943-11ef-8f43-73c96c0de66f,34,PIN,NOT FLIPPED,NOT FLIPPED,5396,0,1
Alta Vista MHC-CUST,363/219,65823356,fdeb0410-c730-11ef-8f43-73c96c0de66f,36,PIN,NOT FLIPPED,NOT FLIPPED,5727,0,1
Alta Vista MHC-CUST,363/219,65827795,eda56120-cf70-11ef-8f43-73c96c0de66f,37,PIN,NOT FLIPPED,NOT FLIPPED,5336,11,1
Alta Vista MHC-CUST,363/219,65823596,7b272f90-c7ad-11ef-8f43-73c96c0de66f,38,PIN,FLIPPED,FLIPPED,17,4660,2
Alta Vista MHC-CUST,363/219,77061879,93bb26e0-3dbb-11f0-8e55-b138a1c03c8e,41,PIN,FLIPPED,FLIPPED,0,5643,2
Alta Vista MHC-CUST,363/219,77054437,111e69e0-26b4-11f0-8272-45e3ef110760,43,PIN,NOT FLIPPED,NOT FLIPPED,5397,0,1
