serial,property,apartment,fwVerTi,gain,up_ppk,tnormStddev,flag
79464101,Blue Sky Village MHC,21,296,55,3040,639,HIGH-GAIN-HIGH-AMP
70272479,Eastwood Hills MHC,EH7,314,55,3036,1187,HIGH-GAIN-HIGH-AMP
72380999,Aurora MHC,260,296,50,2999,390,HIGH-GAIN-HIGH-AMP
70266620,PW2,3124LINDA,344,47,2942,2128,HIGH-GAIN-HIGH-AMP
72381559,Rustic Acres MHC,54,314,55,2919,287,HIGH-GAIN-HIGH-AMP
70260342,Kingsbrook MHC,306CA,296,55,2895,848,HIGH-GAIN-HIGH-AMP
65825047,Estancia MHP,134,314,50,2886,113,HIGH-GAIN-HIGH-AMP
75361038,Parkway MHC,65,296,55,2852,866,HIGH-GAIN-HIGH-AMP
72383464,Whispering Pines Mobile Estates,404,314,55,2814,95,HIGH-GAIN-HIGH-AMP
79461966,Paola MHC,14,314,50,2805,402,HIGH-GAIN-HIGH-AMP
79455703,Shirlee's MHP,7,344,47,2794,788,HIGH-GAIN-HIGH-AMP
72384587,Virginia Beach,168,344,47,2778,1548,HIGH-GAIN-HIGH-AMP
79461909,Shirlee's MHP,1,344,55,2777,4252,HIGH-GAIN-HIGH-AMP
79461131,Holly Tree MHP,32,314,50,2776,4559,HIGH-GAIN-HIGH-AMP
72390287,Virginia Beach,82,344,53,2754,1135,HIGH-GAIN-HIGH-AMP
75363125,Kay Lou MHC,2621-M,296,50,2741,1725,HIGH-GAIN-HIGH-AMP
79459408,Shirlee's MHP,15,344,53,2740,2441,HIGH-GAIN-HIGH-AMP
79463319,Virginia Beach,171,344,55,2720,365,HIGH-GAIN-HIGH-AMP
70268923,Rustic Acres MHC,44,314,55,2679,50,HIGH-GAIN-HIGH-AMP
70262447,Whispering Pines Mobile Estates,317,344,50,2642,5213,HIGH-GAIN-HIGH-AMP
70272222,Rusk MHC,2A,344,47,2639,2421,HIGH-GAIN-HIGH-AMP
79459929,Shirlee's MHP,9,344,47,2609,397,HIGH-GAIN-HIGH-AMP
70263254,PW2,5189JUSTIN,314,55,2585,4808,HIGH-GAIN-HIGH-AMP
75373819,Rush MHC,10,344,47,2538,1160,HIGH-GAIN-HIGH-AMP
75366706,Roosevelt MHC,18,296,50,2510,437,HIGH-GAIN-HIGH-AMP
70272669,Parker MHC,29,344,47,2500,2887,HIGH-GAIN-HIGH-AMP
75361244,Cactus Flower,Laundry,344,50,2493,2356,HIGH-GAIN-HIGH-AMP
72392325,Virginia Beach,143,344,50,2491,3494,HIGH-GAIN-HIGH-AMP
70271877,Hillview MHC,19A,344,55,2471,322,HIGH-GAIN-HIGH-AMP
72724075,Oak Forest Estate MHC,32,344,50,2448,1075,HIGH-GAIN-HIGH-AMP
79466676,Shirlee's MHP,6,344,55,2350,443,HIGH-GAIN-HIGH-AMP
70262256,Ontario Place MHC,58,314,50,2345,478,HIGH-GAIN-HIGH-AMP
72381633,Crystal Acres MHC,43A,344,47,2345,469,HIGH-GAIN-HIGH-AMP
79458236,Broadway MHP DesMoines,14,344,50,2304,3847,HIGH-GAIN-HIGH-AMP
75363885,Kay Lou MHC,2604-M,296,50,2241,245,HIGH-GAIN-HIGH-AMP
75365567,Roosevelt MHC,85,296,50,2204,495,HIGH-GAIN-HIGH-AMP
72380049,Virginia Beach,215,344,47,2200,410,HIGH-GAIN-HIGH-AMP
72379447,Ontario Place MHC,99,314,55,2149,376,HIGH-GAIN-HIGH-AMP
72391269,Holly Tree MHP,76,314,50,2144,298,HIGH-GAIN-HIGH-AMP
77061804,Hydetown Mobile Estates,5,296,55,2143,346,HIGH-GAIN-HIGH-AMP
75365484,Roosevelt MHC,95,296,50,2123,260,HIGH-GAIN-HIGH-AMP
72389115,Crystal Acres MHC,7,344,50,2112,108,HIGH-GAIN-HIGH-AMP
75368488,Broadway MHP DesMoines,8,344,47,2106,131,HIGH-GAIN-HIGH-AMP
