group,device,fwVer,sessions,completed,hung_est,days_with_records_of_7,rsrp_med
Stevens Park MHC,Device 70263874,,0,0,0,,
Stevens Park MHC,Device 72387614,,0,0,0,,
Stevens Park MHC,Device 72387697,,0,0,0,,
Stevens Park MHC,Device 72384033,,0,0,0,,
Stevens Park MHC,Device 72386970,,0,0,0,,
Stevens Park MHC,Device 72391160,,0,0,0,,
Stevens Park MHC,Device 72380783,,0,0,0,,
Stevens Park MHC,Device 72379710,,0,0,0,,
Stevens Park MHC,Device 77036616,,0,0,0,,
Stevens Park MHC,Device 77054502,,0,0,0,,
Stevens Park MHC,Device 77036624,,0,0,0,,
Stevens Park MHC,Device 77036673,,0,0,0,,
Stevens Park MHC,Device 77054585,,0,0,0,,
Stevens Park MHC,Device 65825351,,0,0,0,,
Lake Road Village RV Park-Cust,Device 72381195,362,9,13,0,7,-92.0
Lake Road Village RV Park-Cust,Device 72387721,362,9,13,0,6,-98.0
Lake Road Village RV Park-Cust,Device 72384728,362,12,13,0,7,-114.0
Lake Road Village RV Park-Cust,Device 72386996,17040,7,6,0,0,-102.0
Lake Road Village RV Park-Cust,Device 70260300,16022,7,6,0,7,-106.0
Lake Road Village RV Park-Cust,Device 72380221,16131,7,6,0,3,-109.0
Lake Road Village RV Park-Cust,Device 72387887,362,11,13,0,7,-102.0
Lake Road Village RV Park-Cust,Device 72379892,362,12,12,0,6,-101.0
Lake Road Village RV Park-Cust,Device 72384157,16193,7,6,0,6,-102.0
Lake Road Village RV Park-Cust,Device 70266539,362,9,13,0,7,-100.0
Lake Road Village RV Park-Cust,Device 70266190,362,10,13,0,7,-96.0
Lake Road Village RV Park-Cust,Device 70262520,362,8,13,0,7,-108.0
Lake Road Village RV Park-Cust,Device 70260458,362,7,13,0,7,-91.0
Sara Drive MHP,Device 65825963,16131,7,6,0,7,-110.0
Sara Drive MHP,Device 72389917,16131,7,6,0,7,-105.0
Sara Drive MHP,Device 70261688,362,10,13,0,7,-103.0
Sara Drive MHP,Device 70265283,362,9,13,0,7,-110.0
Sara Drive MHP,Device 70271133,362,11,13,0,7,-102.0
Sara Drive MHP,Device 77053876,362,14,13,0,7,-105.0
Sara Drive MHP,Device 77036905,362,13,13,0,6,-118.0
Sara Drive MHP,Device 77060855,362,13,12,0,4,-118.0
Sara Drive MHP,Device 77058263,362,11,13,0,7,-99.0
Sara Drive MHP,Device 65824719,362,14,13,0,7,-115.0
Sara Drive MHP,Device 77058750,362,13,13,0,7,-106.0
Sara Drive MHP,Device 77057323,362,12,12,0,7,-115.0
Sara Drive MHP,Device 77057687,362,8,13,0,7,-104.0
Sara Drive MHP,Device 65826920,362,14,14,0,7,-108.0
Sara Drive MHP,Device 65824560,362,10,11,0,6,-106.0
Sara Drive MHP,Device 65830617,362,11,13,0,7,-113.0
Sara Drive MHP,Device 65826649,,0,0,0,,
Sara Drive MHP,Device 65825880,362,10,13,0,7,-107.0
Sara Drive MHP,Device 65829130,362,11,13,0,7,-110.0
Sara Drive MHP,Device 65823042,362,8,12,0,7,-109.0
Sara Drive MHP,Device 65828611,,0,0,0,,
Sara Drive MHP,Device 65827035,362,10,9,0,7,-101.0
Sara Drive MHP,Device 65829601,,0,0,0,,
Sara Drive MHP,Device 65827555,362,12,12,0,6,-112.0
Sara Drive MHP,Device 65829924,362,14,13,0,7,-116.0
Sara Drive MHP,Device 65824578,,0,0,0,,
Sara Drive MHP,Device 65826581,362,11,12,0,7,-101.0
Sara Drive MHP,Device 65827852,362,8,13,0,6,-103.0
Sara Drive MHP,Device 65822481,362,13,13,0,7,-109.0
Sara Drive MHP,Device 65831490,362,10,13,0,7,-109.0
