serial,device_id,property,pipe,gain,upamp,fwVer,fwVerTi,offset,risk
77054957,4fe4e590-3da3-11f0-8e55-b138a1c03c8e,Shady Lane MHP,X 3/4,27,2217,17058,365,2400,HIGH
79461313,438e42d0-39d5-11f1-b198-172a4a9f25c9,Rustic Acres MHC,X 3/4,29,2039,17037,344,-730,HIGH
79463558,cbeca810-86ab-11f1-a1a6-391af391818e,Virginia Beach,X 3/4,29,1998,17037,344,-2295,HIGH
72386046,4ff02900-8498-11f0-8b4a-0d0197d44616,Virginia Beach,X 3/4,29,1904,17040,354,-2367,HIGH
72382326,84c0c1c0-9a33-11f0-b5af-5dfa9891b485,Virginia Beach,X 3/4,26,1896,17037,344,-4351,HIGH
77055491,768e77d0-25d7-11f0-8272-45e3ef110760,Mena Estates MHC,X 3/4,25,1861,16185,314,1792,HIGH
79466460,d2206170-4d3c-11f1-b1bb-f3574cce671d,Grand Valley Estates MHC,X 3/4,29,1747,17037,344,-5592,HIGH
75368694,43a85a50-4d38-11f1-b1bb-f3574cce671d,Grand Valley Estates MHC,X 3/4,29,1726,17037,344,-1472,HIGH
77059154,a3dc50c0-51e9-11f0-acb1-514e01860b07,Piney Park,X 3/4,26,1695,17037,344,106,HIGH
79466106,d64e2fb0-6c14-11f1-9333-3b2cfe68422f,Kay Lou MHC,P 3/4,26,1686,17037,344,-998,HIGH
70269475,0eddc440-8420-11f0-8b4a-0d0197d44616,Ponderosa MHC,X 3/4,29,1668,17037,344,11256,HIGH
70267750,c90755a0-8495-11f0-8b4a-0d0197d44616,Virginia Beach,X 3/4,29,1661,17037,344,355,HIGH
72380767,f66f1ad0-8497-11f0-8b4a-0d0197d44616,Ponderosa MHC,X 3/4,26,1660,17037,344,2580,HIGH
77054023,963fb7c0-4151-11f0-8e55-b138a1c03c8e,Kingsbrook MHC,X 3/4,27,1633,16048,272,384,HIGH
72392101,7488ff90-8479-11f0-8b4a-0d0197d44616,Kay Lou MHC,P 3/4,26,1608,17037,344,-2708,HIGH
82373242,75a702d0-89ed-11f1-a1a6-391af391818e,Lake of the Pines Community Association,X 3/4,29,1604,17037,344,753,HIGH
72383829,9be8b600-9e7f-11f0-b5af-5dfa9891b485,Whispering Pines Mobile Estates,X 3/4,28,1601,17040,354,2961,HIGH
75362168,1ea97050-4b25-11f1-bc16-b52012ce6db2,Grand Valley Estates MHC,X 3/4,29,1583,17037,344,-1335,HIGH
75367647,5d33fab0-48c9-11f1-bc16-b52012ce6db2,Grand Valley Estates MHC,X 3/4,26,1581,17037,344,5046,HIGH
65829577,11bdfef0-e66e-11ef-bcd4-5bcca9a9134f,Holly Tree MHP,X 3/4,25,1567,16185,314,1280,HIGH
75371847,f3d86550-59f9-11f1-b1bb-f3574cce671d,Parkwood,X 3/4,29,1547,17037,344,3177,HIGH
79459507,c3e74800-86ab-11f1-a1a6-391af391818e,Virginia Beach,X 3/4,26,1527,17037,344,914,HIGH
65828520,c1be7e90-bdb2-11ef-8f43-73c96c0de66f,Shady Lane MHP,X 3/4,24,1517,17058,365,0,HIGH
79460851,2fc57870-89e6-11f1-a1a6-391af391818e,Virginia Beach,X 3/4,26,1514,17037,344,-1813,HIGH
77055400,4290dfb0-26a7-11f0-8272-45e3ef110760,Holly Tree MHP,X 3/4,26,1506,17037,344,3746,HIGH
79455810,8b09e3e0-87a9-11f1-a1a6-391af391818e,Shirlee's MHP,X 3/4,26,1506,17032,344,530,HIGH
79461644,4de24dd0-39d5-11f1-b198-172a4a9f25c9,Rustic Acres MHC,X 3/4,29,1504,17037,344,298,HIGH
77057653,6f705ec0-4097-11f0-8e55-b138a1c03c8e,Mena Estates MHC,C 3/4,25,1480,16185,314,1280,HIGH
72385881,777eba70-9976-11f0-b5af-5dfa9891b485,Virginia Beach,X 3/4,29,1459,17037,344,1562,HIGH
65831433,82602ca0-e240-11ef-a5fd-a97d57576080,Mena Estates MHC,X 3/4,20,1456,16185,314,-1920,HIGH
79466825,82171dc0-89f2-11f1-a1a6-391af391818e,Lake of the Pines Community Association,X 3/4,26,1445,17037,344,-342,HIGH
70267966,d4b4bd90-51e9-11f0-acb1-514e01860b07,Shady Lane MHP,X 3/4,26,1444,17058,365,-197,HIGH
65825708,a3e06490-e2fd-11ef-a5fd-a97d57576080,Mena Estates MHC,X 3/4,20,1438,16185,314,0,HIGH
75369213,872a47a0-5483-11f1-b1bb-f3574cce671d,Oakwood MHP,X 3/4,26,1438,17037,344,-705,HIGH
72714076,a95c8ce0-d45c-11f0-b691-d965a62fa4fa,Little Acres MHC,X 3/4,29,1434,17037,344,2157,HIGH
75368413,484a7ab0-4d02-11f1-b1bb-f3574cce671d,Grand Valley Estates MHC,X 3/4,29,1433,17037,344,-5843,HIGH
