group,device,fwVer,sessions,hung_est,days_with_records_of_7,rsrp_med,meterVal_first,meterVal_last,usage_7d_gal
Noble Estates MHC-Cust,Device 75362531,17037,31,0,3,-114.0,39489.813,52597.559,13107.746
Stafford MHC-CUST,Device 72384355,17037,15,1,1,-122.0,116221.359,120623.281,4401.922000000006
Oakwood MHP,Device 79459390,17037,11,1,3,-80.0,0.0,3081.319,3081.319
Parkway MHC-Cust,Device 72383290,17040,12,0,3,-104.0,35201.895,37786.082,2584.1870000000054
Round Lake MHP,Device 75369759,15154,7,0,1,-119.0,91455.719,93939.906,2484.1870000000054
Broken Arrow MHP,Device 75367357,16131,11,0,0,-121.0,29859.648,32044.207,2184.5589999999975
Ontario Place MHC,Device 79468128,17037,12,1,2,-113.0,0.0,2063.042,2063.042
Estancia MHP-CUST,Device 72722905,16185,7,0,1,-102.0,73104.141,75112.531,2008.3899999999994
Crystal Acres MHC,Device 72389115,17032,8,0,2,-119.0,3422.834,5235.581,1812.7470000000003
Round Lake MHP,Device 75369957,15154,9,0,1,-119.0,4851.484,6613.771,1762.2869999999994
Kingsbrook MHC,Device 70263718,16131,7,0,2,-122.0,35759.137,37452.066,1692.9289999999964
Estancia MHP-CUST,Device 72723556,15147,4,0,0,-118.0,25326.184,26962.883,1636.6990000000005
Stafford MHC-CUST,Device 72716188,17037,6,0,2,-119.0,6468.029,7680.285,1212.2559999999994
Forest at Sherman MHC-CUST,Device 65829494,362,12,0,3,-116.0,90623.359,91819.969,1196.6100000000006
Country Squire MHC,Device 72384777,16185,8,1,3,-107.0,131647.063,132825.531,1178.4679999999935
Ponderosa MHC,Device 72382896,17037,7,0,0,-118.0,78601.211,79777.828,1176.6169999999984
Minot Gardens MHC-Cust,Device 77054445,16131,5,0,0,-124.0,24184.086,25281.328,1097.242000000002
La Comunidad MHC-CUST,Device 72386285,16185,4,0,3,-97.0,89019.102,90075.758,1056.6560000000027
Kingsbrook MHC,Device 70260342,16131,63,0,0,-119.0,69316.211,70358.18,1041.9689999999973
