group,device,fwVer,sessions,hung_est,days_with_records_of_7,rsrp_med,meterVal_first,meterVal_last,usage_7d_gal
Stevens Park MHC,Device 70263874,,0,0,,,,,
Stevens Park MHC,Device 72387614,,0,0,,,,,
Stevens Park MHC,Device 72387697,,0,0,,,,,
Stevens Park MHC,Device 72384033,,0,0,,,,,
Stevens Park MHC,Device 72386970,,0,0,,,,,
Stevens Park MHC,Device 72391160,,0,0,,,,,
Stevens Park MHC,Device 72380783,,0,0,,,,,
Stevens Park MHC,Device 72379710,,0,0,,,,,
Stevens Park MHC,Device 77036616,,0,0,,,,,
Stevens Park MHC,Device 77054502,,0,0,,,,,
Stevens Park MHC,Device 77036624,,0,0,,,,,
Stevens Park MHC,Device 77036673,,0,0,,,,,
Stevens Park MHC,Device 77054585,,0,0,,,,,
Stevens Park MHC,Device 65825351,,0,0,,,,,
Lake Road Village RV Park-Cust,Device 72381195,362,9,0,7,-92.0,28668.006,29180.762,512.7559999999976
Lake Road Village RV Park-Cust,Device 72387721,362,9,0,6,-98.0,103025.328,103137.586,112.25800000000163
Lake Road Village RV Park-Cust,Device 72384728,362,12,0,7,-114.0,55878.734,56129.141,250.40700000000652
Lake Road Village RV Park-Cust,Device 72386996,17040,7,0,0,-102.0,284867.906,284867.906,0.0
Lake Road Village RV Park-Cust,Device 70260300,16022,7,0,7,-106.0,5510.352,5697.186,186.83399999999983
Lake Road Village RV Park-Cust,Device 72380221,16131,7,0,3,-109.0,5380.23,5743.035,362.8050000000003
Lake Road Village RV Park-Cust,Device 72387887,362,11,0,7,-102.0,3428.732,3494.97,66.23799999999983
Lake Road Village RV Park-Cust,Device 72379892,362,12,0,6,-101.0,36594.426,37190.156,595.7300000000032
Lake Road Village RV Park-Cust,Device 72384157,16193,7,0,6,-102.0,13657.248,14133.139,475.8909999999996
Lake Road Village RV Park-Cust,Device 70266539,362,9,0,7,-100.0,17370.543,17768.953,398.40999999999985
Lake Road Village RV Park-Cust,Device 70266190,362,10,0,7,-96.0,23177.211,23843.771,666.5600000000013
Lake Road Village RV Park-Cust,Device 70262520,362,8,0,7,-108.0,83199.695,83437.711,238.0159999999887
Lake Road Village RV Park-Cust,Device 70260458,362,7,0,7,-91.0,12389.867,12602.413,212.54600000000028
Sara Drive MHP,Device 65825963,16131,7,0,7,-110.0,36787.898,37675.066,887.1679999999978
Sara Drive MHP,Device 72389917,16131,7,0,7,-105.0,142974.0,143572.609,598.6089999999967
Sara Drive MHP,Device 70261688,362,10,0,7,-103.0,27473.535,27949.637,476.10199999999895
Sara Drive MHP,Device 70265283,362,9,0,7,-110.0,11547.18,11868.007,320.8269999999993
Sara Drive MHP,Device 70271133,362,11,0,7,-102.0,42849.895,43699.766,849.8710000000065
Sara Drive MHP,Device 77053876,362,14,0,7,-105.0,238355.563,238994.406,638.8429999999935
Sara Drive MHP,Device 77036905,362,13,0,6,-118.0,11292.559,11413.153,120.59400000000096
Sara Drive MHP,Device 77060855,362,13,0,4,-118.0,119649.82,120978.422,1328.601999999999
Sara Drive MHP,Device 77058263,362,11,0,7,-99.0,14511.558,14747.18,235.6219999999994
Sara Drive MHP,Device 65824719,362,14,0,7,-115.0,32535.844,33228.789,692.9449999999961
Sara Drive MHP,Device 77058750,362,13,0,7,-106.0,37536.863,38470.629,933.7660000000033
Sara Drive MHP,Device 77057323,362,12,0,7,-115.0,68466.469,69814.219,1347.75
Sara Drive MHP,Device 77057687,362,8,0,7,-104.0,7903.486,8026.321,122.83500000000004
Sara Drive MHP,Device 65826920,362,14,0,7,-108.0,123312.094,124860.961,1548.8669999999984
Sara Drive MHP,Device 65824560,362,10,0,6,-106.0,43210.117,44083.613,873.4959999999992
Sara Drive MHP,Device 65830617,362,11,0,7,-113.0,7740.86,7850.776,109.91600000000017
Sara Drive MHP,Device 65826649,,0,0,,,,,
Sara Drive MHP,Device 65825880,362,10,0,7,-107.0,23083.396,23639.033,555.6369999999988
Sara Drive MHP,Device 65829130,362,11,0,7,-110.0,48067.711,49128.492,1060.7809999999954
Sara Drive MHP,Device 65823042,362,8,0,7,-109.0,13450.706,13689.672,238.96600000000035
Sara Drive MHP,Device 65828611,,0,0,,,,,
Sara Drive MHP,Device 65827035,362,10,0,7,-101.0,156153.219,158126.938,1973.7189999999828
Sara Drive MHP,Device 65829601,,0,0,,,,,
Sara Drive MHP,Device 65827555,362,12,0,6,-112.0,35521.648,36256.125,734.476999999999
Sara Drive MHP,Device 65829924,362,14,0,7,-116.0,26864.955,27761.273,896.3179999999993
Sara Drive MHP,Device 65824578,,0,0,,,,,
Sara Drive MHP,Device 65826581,362,11,0,7,-101.0,24273.779,24731.508,457.729000000003
Sara Drive MHP,Device 65827852,362,8,0,6,-103.0,13219.331,13395.291,175.95999999999913
Sara Drive MHP,Device 65822481,362,13,0,7,-109.0,59067.723,60230.5,1162.7770000000019
Sara Drive MHP,Device 65831490,362,10,0,7,-109.0,58200.789,58828.863,628.0740000000005
Sara Drive MHP,Device 65822457,362,9,0,7,-110.0,16444.998,16736.711,291.71299999999974
Sara Drive MHP,Device 65831987,16022,7,0,7,-106.0,42998.016,43974.375,976.3589999999967
Sara Drive MHP,Device 65827076,362,12,0,7,-115.0,42038.93,43037.348,998.4179999999978
Sara Drive MHP,Device 65823521,362,13,0,7,-108.0,14274.729,14567.472,292.7430000000004
Sara Drive MHP,Device 65825252,362,12,0,7,-111.0,46402.066,47401.125,999.0590000000011
Sara Drive MHP,Device 65827803,362,13,0,7,-119.0,41107.418,42011.902,904.484000000004
Sara Drive MHP,Device 65822440,362,9,0,5,-111.0,35872.762,38627.504,2754.7419999999984
Sara Drive MHP,Device 65826268,362,13,0,7,-118.0,16957.156,17137.371,180.21500000000015
Sara Drive MHP,Device 68584349,17037,8,0,7,-104.0,59620.793,60957.586,1336.7930000000051
Sara Drive MHP,Device 65822200,362,12,0,6,-120.0,45180.418,45894.777,714.359000000004
Sara Drive MHP,Device 65823430,362,10,0,6,-112.0,25724.07,26218.551,494.48099999999977
Sara Drive MHP,Device 65822283,362,12,0,7,-112.0,57201.633,58320.887,1119.2540000000008
Sara Drive MHP,Device 65831417,362,12,0,7,-120.0,29534.406,30484.469,950.0630000000019
Cedarbrook Estates MHC,Device 75371045,16185,7,0,0,-101.0,0.0,0.0,0.0
Cedarbrook Estates MHC,Device 79461651,16185,7,0,7,-92.0,343.635,350.731,7.096000000000004
Cedarbrook Estates MHC,Device 79460570,16185,7,0,7,-98.0,6473.627,6865.985,392.35799999999927
Woodland Heights MHC,Device 79457899,17037,12,2,7,-79.0,0.0,0.527,0.527
Woodland Heights MHC,Device 79466833,17037,11,1,7,-80.0,0.0,309.601,309.601
Woodland Heights MHC,Device 79456693,17037,9,1,6,-78.0,0.0,264.617,264.617
Woodland Heights MHC,Device 79456321,17037,9,0,7,-108.0,0.0,4.92,4.92
Woodland Heights MHC,Device 79458665,17037,11,0,0,-105.0,0.0,0.0,0.0
Woodland Heights MHC,Device 79457600,17042,151,0,0,-79.0,0.0,0.0,0.0
Woodland Heights MHC,Device 79453542,17037,10,1,7,-88.0,0.0,544.405,544.405
Woodland Heights MHC,Device 79467872,17037,10,1,7,-79.0,0.0,231.56,231.56
Woodland Heights MHC,Device 79466726,17037,8,0,5,-79.0,0.0,12.051,12.051
Woodland Heights MHC,Device 79456248,17037,7,0,7,-75.0,135.406,394.212,258.806
Woodland Heights MHC,Device 79460273,17037,9,1,7,-110.0,2.499,87.233,84.73400000000001
Woodland Heights MHC,Device 79457154,17037,11,2,7,-91.0,51.0,1142.291,1091.291
Woodland Heights MHC,Device 79466882,17037,5,0,6,-106.0,184.823,379.528,194.705
Woodland Heights MHC,Device 79459614,17037,7,0,7,-76.0,29.234,347.338,318.10400000000004
Woodland Heights MHC,Device 79457352,17037,7,0,6,-79.0,0.393,6.094,5.7010000000000005
Woodland Heights MHC,Device 79461263,17037,7,0,7,-91.0,19.147,713.543,694.396
Woodland Heights MHC,Device 79455455,17037,7,0,6,-76.0,5.265,20.856,15.591000000000001
Woodland Heights MHC,Device 79467864,17037,7,0,7,-107.0,214.672,624.62,409.948
Woodland Heights MHC,Device 79458475,17037,9,0,7,-121.0,2859.859,7387.979,4528.120000000001
Woodland Heights MHC,Device 79459960,17037,9,0,7,-106.0,0.0,595.723,595.723
Woodland Heights MHC,Device 79461842,17037,8,1,0,-122.0,0.617,0.617,0.0
Woodland Heights MHC,Device 79459028,17037,7,0,2,-116.0,69.908,424.871,354.96299999999997
Woodland Heights MHC,Device 79468052,17037,7,0,7,-98.0,121.618,560.953,439.335
Woodland Heights MHC,Device 79467658,17037,7,0,7,-106.0,21.177,143.709,122.53200000000001
Woodland Heights MHC,Device 79459101,17037,7,0,7,-119.0,62.479,205.161,142.68200000000002
Woodland Heights MHC,Device 79467963,17037,7,0,7,-100.0,95.228,257.521,162.293
Woodland Heights MHC,Device 79458848,17037,11,0,7,-105.0,271.557,1606.133,1334.576
Woodland Heights MHC,Device 79465355,17037,7,0,7,-112.0,1.122,2.186,1.0639999999999998
Woodland Heights MHC,Device 79453617,17037,7,0,7,-111.0,131.556,481.101,349.54499999999996
Woodland Heights MHC,Device 79464937,17037,7,0,7,-85.0,120.3,938.073,817.773
Woodland Heights MHC,Device 79464309,17037,9,0,6,-101.0,935.222,1702.496,767.2740000000001
Woodland Heights MHC,Device 79454235,17037,7,0,7,-111.0,87.492,229.208,141.716
Woodland Heights MHC,Device 79454086,17037,4,0,5,-84.0,209.544,436.779,227.23499999999999
Woodland Heights MHC,Device 79453872,17037,7,0,4,-103.0,12.466,26.19,13.724000000000002
Woodland Heights MHC,Device 79458905,17037,7,0,7,-109.0,153.24,397.884,244.644
Woodland Heights MHC,Device 79464770,17037,7,0,7,-104.0,121.59,401.22,279.63
Woodland Heights MHC,Device 79464705,17037,6,0,7,-113.0,104.086,261.606,157.51999999999998
Woodland Heights MHC,Device 79463673,17037,10,0,6,-101.0,337.633,1013.097,675.4639999999999
Woodland Heights MHC,Device 79458798,17037,7,0,7,-105.0,151.588,506.984,355.39599999999996
Woodland Heights MHC,Device 79454771,17037,7,0,7,-87.0,379.789,1068.274,688.4849999999999
Woodland Heights MHC,Device 79459440,17037,8,0,0,-99.0,0.0,0.0,0.0
Woodland Heights MHC,Device 79463616,17037,4,0,4,-89.0,53.557,720.796,667.239
Woodland Heights MHC,Device 75487346,17037,7,0,6,-74.0,17.338,284.666,267.328
Woodland Heights MHC,Device 79457493,17037,7,0,1,-77.0,0.142,0.157,0.015000000000000013
Woodland Heights MHC,Device 79463798,17037,7,0,0,-86.0,1715.063,1715.063,0.0
Woodland Heights MHC,Device 79463707,17037,7,0,0,-86.0,0.211,0.211,0.0
Woodland Heights MHC,Device 79465629,17037,8,0,7,-82.0,0.0,360.384,360.384
Woodland Heights MHC,Device 79458830,17037,8,0,7,-82.0,222.564,536.513,313.94900000000007
Woodland Heights MHC,Device 75468478,17037,7,0,7,-85.0,73.0,354.715,281.715
Woodland Heights MHC,Device 79463756,17037,10,1,7,-79.0,0.0,387.202,387.202
Woodland Heights MHC,Device 75495539,17037,7,0,7,-86.0,29.182,94.675,65.493
Woodland Heights MHC,Device 75500429,17037,16,0,7,-78.0,460.738,13004.851,12544.113000000001
Woodland Heights MHC,Device 75465391,17037,7,0,7,-95.0,5.074,19.237,14.162999999999998
Woodland Heights MHC,Device 79453492,17037,7,0,7,-85.0,73.521,649.502,575.981
Woodland Heights MHC,Device 79459622,17037,7,0,7,-95.0,10.596,69.302,58.706
Woodland Heights MHC,Device 79457592,17037,8,1,7,-77.0,1953.0,2263.912,310.9119999999998
Woodland Heights MHC,Device 79455844,17037,9,0,7,-85.0,0.0,1539.391,1539.391
Woodland Heights MHC,Device 79464234,17037,10,2,5,-83.0,0.0,510.744,510.744
Woodland Heights MHC,Device 79467708,17037,12,0,7,-126.0,255.642,2258.722,2003.0800000000002
Woodland Heights MHC,Device 79456537,17037,7,0,7,-94.0,19.951,91.935,71.98400000000001
Woodland Heights MHC,Device 79462410,17037,7,0,0,-82.0,0.233,0.233,0.0
Woodland Heights MHC,Device 79453823,17037,8,1,1,-77.0,0.0,0.237,0.237
Woodland Heights MHC,Device 75370575,17037,8,0,7,-87.0,0.367,534.583,534.216
Woodland Heights MHC,Device 72389396,17037,7,0,7,-78.0,45.047,255.723,210.67600000000002
Round Lake MHP,Device 75374239,15154,9,0,7,-106.0,71706.836,78005.453,6298.616999999998
Round Lake MHP,Device 75364818,15154,7,0,7,-110.0,30217.627,30508.242,290.61499999999796
Round Lake MHP,Device 75360808,15154,7,0,7,-109.0,250042.688,250365.625,322.93700000000536
Round Lake MHP,Device 75374064,15154,10,0,7,-113.0,91003.68,94141.133,3137.4530000000086
Round Lake MHP,Device 75367340,15154,16,0,7,-115.0,45043.199,45043.199,0.0
