perm,old_st,old_ti,serial,old_lever_wall,old_pair_landed,new_lever_wall,st_landed,ti_landed,st_first,ti_zero_min,boot20_seen,crash_before,crash_after,state_end,gain_end,meterVal_end,issues
17037/344,17037,344,70262090,09/09 08:12:50,09/09 08:19:40,09/09 08:26:15,09/09 08:29:14,09/09 08:31:04,True,1.8,False,0,0,Metering,40,0,
17037/344,17037,344,77058339,09/09 08:12:50,09/09 08:27:26,09/09 08:26:15,09/09 08:37:24,09/09 08:39:19,True,1.9,False,0,0,Metering,39,1.009,
17037/344,17037,344,72378456,09/09 08:12:50,09/09 08:26:21,09/09 08:26:15,09/09 08:36:00,09/09 08:38:11,True,2.2,False,0,0,Metering,39,0,
17037/344,17037,344,72714092,09/09 08:12:50,09/09 08:25:35,09/09 08:26:15,09/09 08:35:19,09/09 08:37:13,True,1.9,False,0,0,Metering,43,0,
17037/344,17037,344,72379322,09/09 08:12:50,09/09 08:26:25,09/09 08:26:15,09/09 08:38:14,09/09 08:40:34,True,2.3,False,0,0,Failed Cal,55,0,
17037/344,17037,344,72390592,09/09 08:12:50,09/09 08:26:48,09/09 08:26:15,09/09 08:38:08,09/09 08:40:05,True,1.9,False,0,0,Metering,33,0,
16185/314,16185,314,70262090,09/09 08:47:56,09/09 09:00:57,09/09 09:01:20,09/09 09:11:57,09/09 09:13:44,True,1.8,False,0,0,Metering,33,0,
16185/314,16185,314,77058339,09/09 08:47:56,09/09 09:01:29,09/09 09:01:20,09/09 09:11:12,09/09 09:13:08,True,1.9,False,0,0,Metering,39,1,
16185/314,16185,314,72378456,09/09 08:47:56,09/09 08:59:32,09/09 09:01:20,09/09 09:08:40,09/09 09:10:49,True,2.2,False,0,0,Metering,39,0,
16185/314,16185,314,72714092,09/09 08:47:56,09/09 08:58:50,09/09 09:01:20,09/09 09:07:59,09/09 09:09:53,True,1.9,False,0,0,Metering,42,0,
16185/314,16185,314,72379322,09/09 08:47:56,09/09 08:54:33,09/09 09:01:20,09/09 09:06:36,09/09 09:08:46,True,2.2,False,0,0,Calibrating,40,0,
16185/314,16185,314,72390592,09/09 08:47:56,09/09 09:02:13,09/09 09:01:20,09/09 09:11:58,09/09 09:14:02,True,2.1,False,0,0,Metering,40,0,
362/209,362,209,70262090,09/09 09:20:57,09/09 09:34:44,09/09 09:33:21,09/09 09:46:54,09/09 09:49:38,True,2.7,True,0,0,Calibrating,40,1,
362/209,362,209,77058339,09/09 09:20:57,09/09 09:34:11,09/09 09:33:21,09/09 09:46:28,09/09 09:49:40,True,3.2,True,0,0,Calibrating,40,2,
362/209,362,209,72378456,09/09 09:20:57,09/09 09:31:31,09/09 09:33:21,09/09 09:43:46,09/09 09:47:14,True,3.5,True,0,0,Metering,38,1,
362/209,362,209,72714092,09/09 09:20:57,09/09 09:30:42,09/09 09:33:21,09/09 09:42:43,09/09 09:46:02,True,3.3,True,0,0,Metering,43,2,
362/209,362,209,72379322,09/09 09:20:57,09/09 09:32:00,09/09 09:33:21,09/09 09:44:19,09/09 09:46:37,True,2.3,True,0,0,Failed Cal,55,0,
362/209,362,209,72390592,09/09 09:20:57,09/09 09:34:19,09/09 09:33:21,09/09 09:37:25,09/09 09:40:55,True,3.5,True,0,0,Metering,41,0,
16131/296,16131,296,70262090,09/09 09:49:53,09/09 10:12:47,09/09 10:14:37,09/09 10:24:45,09/09 10:27:18,True,2.5,True,0,0,Metering,40,1,
16131/296,16131,296,77058339,09/09 09:49:53,09/09 10:13:26,09/09 10:14:37,09/09 10:25:31,09/09 10:28:28,True,3.0,True,0,0,Metering,40,3,
16131/296,16131,296,72378456,09/09 09:49:53,09/09 10:10:52,09/09 10:14:37,09/09 10:22:40,09/09 10:25:54,True,3.2,True,0,0,Metering,42,1,
16131/296,16131,296,72714092,09/09 09:49:53,09/09 10:15:17,09/09 10:14:37,09/09 10:24:23,09/09 10:26:55,True,2.5,True,0,1,Metering,33,2,"crash increment: [('72714092', '0', '1'), ('72379322', '0', '1')]"
16131/296,16131,296,72379322,09/09 09:49:53,09/09 10:10:59,09/09 10:14:37,09/09 10:22:30,09/09 10:24:49,True,2.3,True,0,1,Failed Cal,55,0,"crash increment: [('72714092', '0', '1'), ('72379322', '0', '1')]"
16131/296,16131,296,72390592,09/09 09:49:53,09/09 10:15:30,09/09 10:14:37,09/09 10:27:46,09/09 10:30:44,True,3.0,True,0,0,Calibrating,40,0,
16022/260,16022,260,70262090,09/09 10:32:05,09/09 11:10:33,09/09 11:18:31,09/09 11:22:29,09/09 11:24:59,True,2.5,True,0,0,Metering,40,0,
16022/260,16022,260,77058339,09/09 10:32:05,09/09 11:12:17,09/09 11:18:31,09/09 11:24:30,09/09 11:27:48,True,3.3,True,0,0,Metering,40,1,
16022/260,16022,260,72378456,09/09 10:32:05,09/09 11:09:28,09/09 11:18:31,,,,,False,0,0,Metering,32,1.339,72378456 dark 36 min
16022/260,16022,260,72714092,09/09 10:32:05,09/09 11:12:57,09/09 11:18:31,09/09 11:26:12,09/09 11:28:03,True,1.8,True,1,1,Metering,43,2,
16022/260,16022,260,72379322,09/09 10:32:05,09/09 11:11:51,09/09 11:18:31,09/09 11:24:24,09/09 11:26:56,True,2.5,True,1,1,Calibrating,40,0,
16022/260,16022,260,72390592,09/09 10:32:05,09/09 11:15:02,09/09 11:18:31,09/09 11:27:37,09/09 11:30:53,True,3.3,True,0,0,Metering,38,0,
16022/260,16022,260,70262090,09/09 13:22:34,09/09 13:16:29,09/09 13:23:40,09/09 13:28:25,09/09 13:31:03,True,2.6,True,0,0,Metering,41,0,
16022/260,16022,260,77058339,09/09 13:22:34,09/09 13:18:12,09/09 13:23:40,09/09 13:30:44,09/09 13:33:59,True,3.2,True,0,0,Metering,33,1,
16022/260,16022,260,72378456,09/09 13:22:34,09/09 13:24:19,09/09 13:23:40,09/09 13:36:42,09/09 13:40:14,True,3.5,True,0,0,Calibrating,40,1,
16022/260,16022,260,72714092,09/09 13:22:34,09/09 13:18:46,09/09 13:23:40,09/09 13:30:58,09/09 13:34:06,True,3.1,True,1,1,Metering,43,2,
16022/260,16022,260,72379322,09/09 13:22:34,09/09 13:19:49,09/09 13:23:40,09/09 13:32:10,09/09 13:33:55,True,1.7,True,1,1,Failed Cal,55,0,
16022/260,16022,260,72390592,09/09 13:22:34,09/09 13:17:30,09/09 13:23:40,09/09 13:29:42,09/09 13:32:55,True,3.2,True,0,0,Metering,40,0,
15090/254,15090,254,70262090,09/09 14:16:36,09/09 14:27:06,09/09 14:25:56,09/09 14:31:04,09/09 14:33:42,True,2.6,True,0,0,Metering,40,0.191,
15090/254,15090,254,77058339,09/09 14:16:36,09/09 14:27:11,09/09 14:25:56,09/09 14:31:10,09/09 14:34:56,True,3.8,True,0,0,Metering,33,0,
