serial,group,apt,class,state,pre,duty_pct,hours_since_landing,tiWdReset,gain,env,upamp,tnormStddev,fwVerTi,gal_7d,rsrp,VddAdc,noWater,id
72383571,Virginia Beach HOA - Cust,41,NO-SIGNAL,Failed Cal,Calibrating,,53,0,55.0,30.0,118.0,0.0,391,0,-104,3635,false,a787a000-9a2b-11f0-b5af-5dfa9891b485
75370591,?,22-DOUBLETREE-CT,GATE-LOOP,Calibrating,Failed Cal,,52,82,40.0,30.0,0.0,0.0,391,0,-102,3646,true,2b1c9d30-6c13-11f1-9333-3b2cfe68422f
68612595,Parkwood,5200JUSTIN-OLD,NO-SIGNAL,Failed Cal,Calibrating,,54,0,55.0,30.0,112.0,0.0,391,0,-110,3628,false,f36d0630-cf70-11ef-8f43-73c96c0de66f
65822101,Forest at Sherman MHC-CUST,50,"CALIBRATING (>48 h, no loop)",Calibrating,Calibrating,,52,0,40.0,30.0,23.0,0.0,391,0,-112,3652,false,a412a6e0-cf6f-11ef-8f43-73c96c0de66f
75365757,?,13-SHENNADOH-DR,NO-WATER (attr set),Calibrating,Failed Cal,,52,0,40.0,30.0,38.0,0.0,391,0,-96,3658,true,0f5b96d0-4d02-11f1-b1bb-f3574cce671d
75366607,?,15-SHENNADOH-DR,NO-WATER (attr set),Calibrating,Failed Cal,,52,0,40.0,30.0,21.0,0.0,391,0,-96,3660,true,3da2d170-4d02-11f1-b1bb-f3574cce671d
65824917,Shady Lane MHP-Cust,40 Maple Lane APT #0,OTHER,Metering,Metering,59,53,0,23.0,30.0,1320.0,25.0,391,62,-100,3637,false,704a9de0-25d7-11f0-8272-45e3ef110760
65831581,Alta Vista MHC-CUST,4,COMPRESSED-SIGNAL,Metering,Metering,71,53,2,52.0,30.0,460.0,3374.0,391,20,-116,3647,false,12317560-cf71-11ef-8f43-73c96c0de66f
75374932,?,2-DOUBLETREE-CT,NO-SIGNAL,Failed Cal,Calibrating,,53,0,55.0,30.0,100.0,0.0,391,0,-99,3647,true,e2988c70-6c14-11f1-9333-3b2cfe68422f
72386996,Lake Road Village RV Park-Cust,5,GATE-LOOP,Calibrating,Calibrating,,60,149,40.0,30.0,0.0,0.0,391,9,-104,3640,false,5154af00-ad3d-11f0-98a7-c3bc57f9afe3
65827241,Oakwood MHP,91,"CALIBRATING (>48 h, no loop)",Calibrating,Calibrating,,54,0,40.0,30.0,32.0,0.0,391,0,-100,3637,false,7931df10-e313-11ef-a5fd-a97d57576080
65825500,Green Grove Trailer Court MHC,15,CAL-FAIL (signal present),Failed Cal,Failed Cal,,58,0,52.0,38.0,435.0,0.0,391,0,-96,3661,false,2e931240-e984-11ef-b35e-23eef2ba43da
65825575,TN4,4,NO-SIGNAL,Failed Cal,Calibrating,,53,0,55.0,30.0,113.0,0.0,391,0,-95,3643,false,2a8c9e90-0285-11f0-92a4-09772dfb61f8
70269798,Shady Lane MHP-Cust,40 Maple Lane APT #3,"CALIBRATING (>48 h, no loop)",Calibrating,Failed Cal,,55,0,40.0,30.0,151.0,0.0,391,0,-101,3637,false,e121b210-52dc-11f0-acb1-514e01860b07
72723432,Johnson's Trailer Park,14,OTHER,Metering,Metering,36,56,0,52.0,38.0,321.0,585.0,391,252,-100,3622,false,626d0930-f186-11f0-8900-8bd481ce9a44
72717020,Backwater MHC,26-2OF2,CAL-FAIL (signal present),Failed Cal,Metering,0,31,0,52.0,54.0,816.0,0.0,391,14,-75,3663,false,e7ce4200-d4c7-11f0-b691-d965a62fa4fa
79456420,Aurora MHC,,NO-SIGNAL,Failed Cal,Failed Cal,,80,0,55.0,30.0,95.0,0.0,391,0,-116,3663,,ab1c7fa0-a642-11f1-a1a6-391af391818e
79467617,Aurora MHC,155,GATE-LOOP,Calibrating,Failed Cal,,77,137,40.0,30.0,105.0,0.0,391,113,-97,3661,false,f27316b0-8ad2-11f1-a1a6-391af391818e
77052258,Holly Tree MHP,67,GATE-LOOP,Calibrating,Metering,76,30,30,40.0,30.0,0.0,0.0,391,264,-107,3618,false,48434f10-26a7-11f0-8272-45e3ef110760
77042093,Aurora MHC,224,"CALIBRATING (>48 h, no loop)",Calibrating,Failed Cal,,78,0,55.0,30.0,548.0,0.0,391,-1,-103,3507,false,9b727000-269b-11f0-8272-45e3ef110760
77058057,The Oaks MHC,30,OTHER,Metering,Metering,74,9,0,43.0,38.0,284.0,949.0,391,566,-111,3661,false,15d78520-26b4-11f0-8272-45e3ef110760
77061143,Alta Vista MHC-CUST,28,"CALIBRATING (>48 h, no loop)",Calibrating,Failed Cal,,4,0,40.0,30.0,74.0,0.0,391,0,-111,3638,false,13be6920-26b4-11f0-8272-45e3ef110760
77055780,Singing Pines,2,NO-SIGNAL,Failed Cal,Failed Cal,,49,0,55.0,30.0,73.0,0.0,391,0,-129,3618,false,c851e1a0-26b9-11f0-8272-45e3ef110760
77057596,The Oaks MHC,37,CAL-FAIL (signal present),Failed Cal,Metering,0,10,0,52.0,54.0,1030.0,0.0,391,1043,-96,3652,false,53c2d000-26ce-11f0-8272-45e3ef110760
77054429,Arizona Manor,3,NO-SIGNAL,Failed Cal,Calibrating,,50,0,55.0,30.0,96.0,0.0,391,0,-83,3625,false,57792140-26ce-11f0-8272-45e3ef110760
75366441,?,26-DOUBLETREE-CT,NO-WATER (attr set),Calibrating,Failed Cal,,52,0,40.0,30.0,29.0,0.0,391,0,-95,3657,true,6c2fb3c0-6c13-11f1-9333-3b2cfe68422f
79461628,Blue Sky Village MHC,28,"CALIBRATING (>48 h, no loop)",Calibrating,Calibrating,,52,0,40.0,30.0,28.0,0.0,391,0,-94,3666,false,eab0dcc0-39d6-11f1-b198-172a4a9f25c9
77056358,Fowler Apts MF,401-M,"CALIBRATING (>48 h, no loop)",Calibrating,Failed Cal,,55,0,40.0,30.0,20.0,0.0,391,0,-101,3611,false,caccea00-352e-11f0-8e55-b138a1c03c8e
77054627,Carolina Springs MHP-CUST,CSP106-390-RIDGELINECT-2OF2,"CALIBRATING (>48 h, no loop)",Calibrating,Calibrating,,53,0,43.0,38.0,240.0,0.0,391,-1,-110,3657,false,c9bd1220-35a6-11f0-8e55-b138a1c03c8e
77058511,Oak Forest Estate MHC,36,"CALIBRATING (>48 h, no loop)",Calibrating,Calibrating,,55,0,52.0,54.0,373.0,0.0,391,0,-105,3659,false,5b8a2ab0-3d8d-11f0-8e55-b138a1c03c8e
77061481,Trans Canada,B18TC,"CALIBRATING (>48 h, no loop)",Calibrating,Failed Cal,,52,0,28.0,30.0,281.0,0.0,391,0,-98,3613,false,52ac2380-3d01-11f0-8e55-b138a1c03c8e
77061952,Eastwood Hills MHC-CUST,EH100,"CALIBRATING (>48 h, no loop)",Calibrating,Failed Cal,,52,0,40.0,30.0,30.0,0.0,391,0,-108,3660,false,4ff3ba40-3d01-11f0-8e55-b138a1c03c8e
77053314,Rainbird,1628HW,"CALIBRATING (>48 h, no loop)",Calibrating,Calibrating,,75,0,40.0,30.0,25.0,0.0,391,0,-100,3595,false,e86bbcb0-3d78-11f0-8e55-b138a1c03c8e
72718887,103 West Broadway,113-4,"CALIBRATING (>48 h, no loop)",Calibrating,Calibrating,,75,0,40.0,30.0,31.0,0.0,391,0,-87,3668,false,45ad5320-d4c8-11f0-b691-d965a62fa4fa
