device_serial,tb_device_id,property_group,apartment,state_now,was_metering_before_17088,hours_since_17088_landed,failure_mode,root_cause,evidence,recommended_action,fwVerTi,rsrp,VddAdc,noWater_attr
70259476,745f1d90-ad43-11f0-98a7-c3bc57f9afe3,Backwater MHC,10,Calibrating,yes,32,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=39; gain=40; amp=0; meteringDuty=75%; gal7d=42,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-76,3658,false
72722046,4f6f2ab0-d21f-11f0-b691-d965a62fa4fa,Crystal Acres MHC,16,Calibrating,yes,56,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=69; gain=40; amp=0; meteringDuty=44%; gal7d=-1,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-106,3666,false
70269160,746591e0-a940-11f0-98a7-c3bc57f9afe3,Crystal Acres MHC,22,Calibrating,yes,53,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=101; gain=40; amp=0; meteringDuty=89%; gal7d=1117,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-118,3623,false
70269301,e3c37010-a941-11f0-98a7-c3bc57f9afe3,Crystal Acres MHC,41,Calibrating,yes,31,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=54; gain=40; amp=0; meteringDuty=76%; gal7d=71,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-112,3653,false
79461073,5bcbb420-3f31-11f1-b39d-b550dfb4ab8b,Holly Tree MHP,34,Calibrating,yes,29,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=28; gain=40; amp=0; meteringDuty=76%; gal7d=613,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-117,3660,false
77052258,48434f10-26a7-11f0-8272-45e3ef110760,Holly Tree MHP,67,Calibrating,yes,30,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=30; gain=40; amp=0; meteringDuty=76%; gal7d=264,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-107,3618,false
77060855,7e0fcd50-3d9d-11f0-8e55-b138a1c03c8e,Sara Drive MHP,1029,Calibrating,yes,55,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=129; gain=40; amp=0; meteringDuty=0%; gal7d=516,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-118,3631,false
79466379,1cb19300-545c-11f1-b1bb-f3574cce671d,Shady Lane MHP-Cust,106 Shady Lane,Calibrating,yes,53,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=89; gain=40; amp=0; meteringDuty=41%; gal7d=120,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-109,3641,false
65829312,85b1f1a0-e07d-11ef-a5fd-a97d57576080,Virginia Beach HOA - Cust,145,Calibrating,yes,55,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=54; gain=40; amp=0; meteringDuty=26%; gal7d=68,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-102,3646,false
75361806,a5ec3540-4d71-11f1-b1bb-f3574cce671d,Virginia Beach HOA - Cust,2,Calibrating,yes,54,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=131; gain=40; amp=0; meteringDuty=44%; gal7d=30,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-114,3663,false
72383068,3a2fb640-9a72-11f0-b5af-5dfa9891b485,Whispering Pines Mobile Estates-CUST,500,Calibrating,yes,54,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=122; gain=40; amp=0; meteringDuty=41%; gal7d=232,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-99,3632,false
65831581,12317560-cf71-11ef-8f43-73c96c0de66f,Alta Vista MHC-CUST,4,Metering,yes,53,COMPRESSED-SIGNAL,"Calibration latched onto too much gain; receive signal compressed/saturated, tnorm noisy, offset tracker cannot lock",wdResets=2; gain=52; amp=460; tnormSd=3374; meteringDuty=71%; gal7d=20,"recalibrate=true (then delete the attr); if it re-locks high, pin gain into the site band (~25-30)",391,-116,3647,false
70266968,1144b3c0-6674-11f0-8658-7f4e94e41769,Rustic Acres MHC-CUST,59,Metering,yes,79,COMPRESSED-SIGNAL,"Calibration latched onto too much gain; receive signal compressed/saturated, tnorm noisy, offset tracker cannot lock",gain=47; amp=2901; tnormSd=473; meteringDuty=70%; gal7d=481,"recalibrate=true (then delete the attr); if it re-locks high, pin gain into the site band (~25-30)",391,-124,3649,false
72378498,3d552d50-8375-11f0-8b4a-0d0197d44616,Westview Mobile Estates MHC,220-REMOVED,Failed Cal,yes,30,COMPRESSED-SIGNAL,"Calibration latched onto too much gain; receive signal compressed/saturated, tnorm noisy, offset tracker cannot lock",gain=55; amp=2811; meteringDuty=0%; gal7d=150568,"recalibrate=true (then delete the attr); if it re-locks high, pin gain into the site band (~25-30)",391,-110,3624,false
72717020,e7ce4200-d4c7-11f0-b691-d965a62fa4fa,Backwater MHC,26-2OF2,Failed Cal,yes,31,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=52; amp=816; meteringDuty=0%; gal7d=14,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-75,3663,false
77036889,5088dab0-26ce-11f0-8272-45e3ef110760,Pelican Shores North HOA - Cust,12636,Failed Cal,yes,68,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,wdResets=2; gain=52; amp=930; meteringDuty=94%; gal7d=25578,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-116,3627,false
77055145,87b7e210-3db7-11f0-8e55-b138a1c03c8e,The Oaks MHC,20,Failed Cal,yes,9,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=368; meteringDuty=0%; gal7d=66,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-99,3645,false
77057596,53c2d000-26ce-11f0-8272-45e3ef110760,The Oaks MHC,37,Failed Cal,yes,10,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=52; amp=1030; meteringDuty=0%; gal7d=1043,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-96,3652,false
70272180,75a7d5e0-a940-11f0-98a7-c3bc57f9afe3,Crystal Acres MHC,6,Metering,yes,31,OTHER,Metering now but only 23-76% of the time since landing; gate-loop survivors and post-crossing cal churn,wdResets=9; gain=42; amp=1016; tnormSd=95; meteringDuty=23%; gal7d=923,Watch 48 h; escalate to recalibrate if duty does not reach 80%,391,-116,3635,false
72723432,626d0930-f186-11f0-8900-8bd481ce9a44,Johnson's Trailer Park,14,Metering,yes,56,OTHER,Metering now but only 23-76% of the time since landing; gate-loop survivors and post-crossing cal churn,gain=52; amp=321; tnormSd=585; meteringDuty=36%; gal7d=252,Watch 48 h; escalate to recalibrate if duty does not reach 80%,391,-100,3622,false
75369502,cdee3650-f651-11f0-b153-63024d3301e1,Pace East,11,Metering,yes,73,OTHER,Metering now but only 23-76% of the time since landing; gate-loop survivors and post-crossing cal churn,gain=48; amp=269; tnormSd=471; meteringDuty=34%; gal7d=92,Watch 48 h; escalate to recalibrate if duty does not reach 80%,391,-94,3635,false
65824917,704a9de0-25d7-11f0-8272-45e3ef110760,Shady Lane MHP-Cust,40 Maple Lane APT #0,Metering,yes,53,OTHER,Metering now but only 23-76% of the time since landing; gate-loop survivors and post-crossing cal churn,gain=23; amp=1320; tnormSd=25; meteringDuty=59%; gal7d=62,Watch 48 h; escalate to recalibrate if duty does not reach 80%,391,-100,3637,false
75369098,e9bd4b10-545b-11f1-b1bb-f3574cce671d,Shady Lane MHP-Cust,5013 Spruce Lane,Metering,yes,55,OTHER,Metering now but only 23-76% of the time since landing; gate-loop survivors and post-crossing cal churn,wdResets=1; gain=38; amp=1967; tnormSd=321; meteringDuty=58%; gal7d=519,Watch 48 h; escalate to recalibrate if duty does not reach 80%,391,-117,3655,false
77058057,15d78520-26b4-11f0-8272-45e3ef110760,The Oaks MHC,30,Metering,yes,9,OTHER,Metering now but only 23-76% of the time since landing; gate-loop survivors and post-crossing cal churn,gain=43; amp=284; tnormSd=949; meteringDuty=74%; gal7d=566,Watch 48 h; escalate to recalibrate if duty does not reach 80%,391,-111,3661,false
