group,serial,id,apt,state,fw,fwti,gain,tiPulse,crash,seen_h,nowater,pipe
103 West Broadway,72718887,45ad5320-d4c8-11f0-b691-d965a62fa4fa,113-4,Failed Cal,17060,368,55,13,0,7.3,false,M ¾
8 OnElaine,72720263,ed003220-c431-11f0-9842-6d029661c338,"2314-1102,1202",Failed Cal,17037,344,26,,45,7.9,false,M 1
Alta Vista MHC-CUST,77061143,13be6920-26b4-11f0-8272-45e3ef110760,28,Failed Cal,17060,368,55,13,0,9.7,false,C ¾
Alta Vista MHC-CUST,65831581,12317560-cf71-11ef-8f43-73c96c0de66f,4,Failed Cal,17060,368,55,13,0,9.4,false,P ¾
Alta Vista MHC-CUST,70263098,9607ac20-62a0-11f0-8658-7f4e94e41769,45,Failed Cal,17060,368,55,6,0,9.4,false,X ¾
Alta Vista MHC-CUST,79456529,1ae91ac0-47f5-11f1-969c-6109d9dfb138,18,Not Metering,16048,272,45,,0,2439.5,true,X ¾
Alta Vista MHC-CUST,65832035,40fb5330-c93f-11ef-8f43-73c96c0de66f,24,Not Metering,16048,0,0,,6,2438.4,false,C ¾
Alta Vista MHC-CUST,79466189,0c76d4f0-47f5-11f1-969c-6109d9dfb138,31,Not Metering,16048,0,0,,0,2342.8,false,X ¾
Alta Vista MHC-CUST,70269749,0170a030-6133-11f0-9fcd-87e94e720126,32,Not Metering,16048,0,0,,0,2460.9,false,P ¾
Arizona Manor,77054429,57792140-26ce-11f0-8272-45e3ef110760,3,Failed Cal,17060,368,55,6,0,7.7,false,X ¾
Aurora MHC,72392556,dcd93400-82e1-11f0-8b4a-0d0197d44616,105,Failed Cal,17060,368,55,6,0,10.7,false,X ¾
Aurora MHC,70266596,90af2940-5c21-11f0-9fcd-87e94e720126,117B,Failed Cal,17060,368,55,13,0,8.6,,X ¾
Aurora MHC,70261761,6f0acba0-5c21-11f0-9fcd-87e94e720126,159,Failed Cal,17060,368,55,13,0,9.5,false,M ½
Aurora MHC,72389412,ff256a60-82e1-11f0-8b4a-0d0197d44616,172,Failed Cal,17060,368,55,13,0,9.6,false,X ½
Aurora MHC,77042093,9b727000-269b-11f0-8272-45e3ef110760,224,Failed Cal,17040,354,55,,0,11.4,false,P ⅜
Aurora MHC,70264302,fdcf84e0-5bb1-11f0-9fcd-87e94e720126,258,Failed Cal,17060,368,55,6,2837,83.8,false,X ¾
