Action,Lot,Device,State,DaysDark,LastRadioContact,FW,TI,Carrier,RSRP_final30,VddAdc_mV,gen2fw_pin,CadenceVerdict,OwnMedianGap_h,OwnP95Gap_h,Overdue_x_ownP95,Basis
New meter - external antenna (failed FOTA),11,65829833,DARK,82.2,2026-06-10,16048,209,AT&T,-123.0,3613,16185,BREACH,20.1,122.2,16.14,tifota_fetch_err=3 + died on the 16048 update | STILL PINNED gen2fw=16185
New meter - external antenna (failed FOTA),102,72391244,DARK,54.3,2026-07-08,16022,260,AT&T,-122.0,3641,,BREACH,23.7,121.6,10.72,tifota_fetch_err=10
New meter - external antenna (failed FOTA),134,70267776,DARK,49.3,2026-07-13,16185,0,AT&T,-122.0,3554,,BREACH,23.4,121.4,9.75,TI version latched 0 at the 16185 update
New meter - external antenna (failed FOTA),89,70264732,DARK,13.2,2026-08-18,15147,209,AT&T,-121.0,3128,,bounded,25.1,122.9,2.59,tifota_fetch_err=42 - download never completed
New meter - external antenna (failed FOTA),12,70261068,DARK,54.3,2026-07-08,15147,209,AT&T,-121.0,3618,16185,BREACH,22.1,118.8,10.97,tifota_fetch_err=63 | STILL PINNED gen2fw=16185
New meter - external antenna (failed FOTA),147,70271968,DARK,53.2,2026-07-09,16022,260,AT&T,-121.0,3640,,BREACH,24.5,121.8,10.49,tifota_fetch_err=27
New meter - external antenna (failed FOTA),132,70270309,DARK,87.2,2026-06-05,16048,209,AT&T,-118.5,3484,16185,BREACH,24.7,120.9,17.32,tifota_fetch_err=6 + died on the 16048 update | STILL PINNED gen2fw=16185
New meter - external antenna (failed FOTA),43,72381864,DARK,158.2,2026-03-26,362,0,Verizon,-118.0,3620,16185,BREACH,78.0,121.2,31.33,"tifota_bsl_init_err=84, passwd=46, baud=46"
New meter - external antenna (failed FOTA),15,70260904,DARK,52.2,2026-07-10,16185,0,AT&T,-118.0,3590,,BREACH,22.2,39.1,32.05,TI version latched 0 at the 16185 update
New meter - external antenna (failed FOTA),95,70259112,DARK,33.0,2026-07-29,16185,0,AT&T,-117.0,3091,,BREACH,23.8,121.1,6.55,"tifota_hard_reset_cnt=3740, TI latched 0"
New meter - external antenna (failed FOTA),92,70267768,DARK,115.3,2026-05-08,15154,209,AT&T,-116.0,3583,16185,BREACH,25.7,125.3,22.08,tifota_fetch_err=28
New meter - external antenna (failed FOTA),100,70260581,DARK,22.2,2026-08-09,16022,260,AT&T,-116.0,3593,16185,BREACH,23.8,120.2,4.44,"stFotaHttpFail=83 over 71 tries, all at 16185 | STILL PINNED gen2fw=16185"
New meter - external antenna (failed FOTA),130,70264260,DARK,47.1,2026-07-15,16185,0,AT&T,-115.0,3231,,BREACH,24.1,120.7,9.38,"tifota_hard_reset_cnt=1054, TI latched 0"
New meter - external antenna (failed FOTA),49,70264476,DARK,90.2,2026-06-02,16048,272,AT&T,-114.0,3438,16185,BREACH,22.8,116.0,18.67,"died on the 16048 update, 27/28 cadence right up to it | STILL PINNED gen2fw=16185"
New meter - standard,31,65824487,DARK,185.2,2026-02-27,10322,181,AT&T,-118.0,,,BREACH,33.9,120.6,36.85,"dark 185d on obsolete fw 10322, no FOTA-failure evidence"
New meter - standard,153,70265127,DARK,287.5,2025-11-17,10295,159,AT&T,-111.0,,,no baseline,,,,"dark 288d on obsolete fw 10295, no FOTA-failure evidence"
New meter - standard,66,72383407,online,0,2026-08-31,17040,354,AT&T,-108.0,3635,,bounded,24.4,102.2,0.03,"register flat 45d + failed cal - metering fault, not signal"
Re-check morning of the trip,62,79462774,DARK,4.1,2026-08-27,17037,344,Verizon,-128.0,3650,,bounded,24.0,48.8,2.03,only 4d quiet after 23/28 cadence; fsm_fail_TIFOTA=12 - ext-ant meter if still down
Re-check morning of the trip,137,70268626,DARK,3.1,2026-08-28,16185,314,Verizon,-123.0,3629,,bounded,23.2,95.7,0.79,"only 3d quiet after 25/28 cadence; tifota_hard_reset_cnt=2, fsm_fail_TIFOTA=48 - ext-ant meter if still down"
"Check on site, no parts assumed",58,70262256,online,0,2026-08-31,16185,314,Verizon,-118.0,3641,,bounded,23.9,120.9,0.03,failed calibration flag
"Check on site, no parts assumed",74,70261316,online,0,2026-08-31,17040,354,T-Mobile,-114.0,3603,,bounded,23.3,97.2,0.03,failed calibration flag
"Check on site, no parts assumed",9,75360303,online,0,2026-08-31,17037,344,Verizon,-114.0,3647,,bounded,23.7,38.8,0.05,high ToF rejection - acoustic/coupling
"Check on site, no parts assumed",18,70271380,online,0,2026-08-31,17040,354,T-Mobile,-112.0,3491,,bounded,24.0,72.5,0.02,failed calibration flag
No action - marginal signal but working,135,65825286,online,0,2026-08-31,17037,344,T-Mobile,-125.5,3640,,bounded,22.1,122.4,0.03,"RSRP -125.5 dBm but metering, attaching 14/28, battery 3640mV"
No action - marginal signal but working,148,70265135,online,0,2026-08-31,17037,344,AT&T,-124.0,3607,,bounded,22.5,120.1,0.02,"RSRP -124.0 dBm but metering, attaching 26/28, battery 3607mV"
No action - marginal signal but working,101,70266489,online,0,2026-08-31,17037,344,Verizon,-123.0,3640,,bounded,24.0,120.9,0.03,"RSRP -123.0 dBm but metering, attaching 28/28, battery 3640mV"
No action - marginal signal but working,50,70267925,online,0,2026-08-31,16185,314,Verizon,-123.0,3641,,bounded,24.1,119.4,0.01,"RSRP -123.0 dBm but metering, attaching 27/28, battery 3641mV"
No action - marginal signal but working,68,70267735,online,0,2026-08-31,17037,344,T-Mobile,-122.0,3649,,bounded,24.1,49.0,0.07,"RSRP -122.0 dBm but metering, attaching 27/28, battery 3649mV"
No action - marginal signal but working,85,72382094,online,0,2026-08-31,17037,344,T-Mobile,-122.0,3643,,bounded,24.1,119.4,0.02,"RSRP -122.0 dBm but metering, attaching 26/28, battery 3643mV"
No action - marginal signal but working,63,72381419,online,0,2026-08-31,17037,344,Verizon,-121.0,3638,,bounded,24.0,63.0,0.03,"RSRP -121.0 dBm but metering, attaching 25/28, battery 3638mV"
No action - marginal signal but working,104,70259054,online,0,2026-08-31,17037,344,T-Mobile,-120.5,3623,,bounded,22.6,119.5,0.01,"RSRP -120.5 dBm but metering, attaching 22/28, battery 3623mV"
No action - marginal signal but working,2,70265796,online,0,2026-08-31,16022,260,Verizon,-120.0,3647,,bounded,23.6,117.8,0.04,"RSRP -120.0 dBm but metering, attaching 28/28, battery 3647mV"
No action - marginal signal but working,88,70261142,online,0,2026-08-31,17037,344,T-Mobile,-120.0,3495,,bounded,23.8,120.7,0.02,"RSRP -120.0 dBm but metering, attaching 25/28, battery 3495mV"
