Action,Lot,Device,State,DaysDark,LastRadioContact,FW_now,gen2fw_pin,SyncState,TI_now,allowTiFotaVer,Carrier,RSRP_final30_dBm,VddAdc_mV,Gen,CadenceVerdict,Silence_h,Bound_h,Silence_x_bound,Basis
New meter - external antenna,43,72381864,DARK,158.2,2026-03-26,362,16185,PENDING -> 16185,0,314,Verizon,-118.0,3620,GEN2,SILENT,3797.1,51.4,73.87,"tifota_bsl_init_err=84, passwd=46, baud=46"
New meter - external antenna,92,70267768,DARK,115.3,2026-05-08,15154,16185,PENDING -> 16185,209,314,AT&T,-116.0,3583,GEN2,SILENT,2767.2,51.4,53.84,tifota_fetch_err=28
New meter - external antenna,49,70264476,DARK,90.2,2026-06-02,16048,16185,PENDING -> 16185,272,314,AT&T,-114.0,3438,GEN2,SILENT,2165.9,51.4,42.14,"died on the 16048 update, 27/28 cadence right up to it | STILL PINNED gen2fw=16185"
New meter - external antenna,132,70270309,DARK,87.2,2026-06-05,16048,16185,PENDING -> 16185,209,314,AT&T,-118.5,3484,GEN2,SILENT,2094.2,51.4,40.74,tifota_fetch_err=6 + died on the 16048 update | STILL PINNED gen2fw=16185
New meter - external antenna,11,65829833,DARK,82.2,2026-06-10,16048,16185,PENDING -> 16185,209,314,AT&T,-123.0,3613,GEN2,SILENT,1972.9,51.4,38.38,tifota_fetch_err=3 + died on the 16048 update | STILL PINNED gen2fw=16185
New meter - external antenna,102,72391244,DARK,54.3,2026-07-08,16022,,PENDING -> 17037,260,344,AT&T,-122.0,3641,GEN2,SILENT,1303.6,51.4,25.36,tifota_fetch_err=10
New meter - external antenna,12,70261068,DARK,54.3,2026-07-08,15147,16185,PENDING -> 16185,209,314,AT&T,-121.0,3618,GEN2,SILENT,1303.6,51.4,25.36,tifota_fetch_err=63 | STILL PINNED gen2fw=16185
New meter - external antenna,147,70271968,DARK,53.2,2026-07-09,16022,,PENDING -> 17037,260,344,AT&T,-121.0,3640,GEN2,SILENT,1278.1,51.4,24.87,tifota_fetch_err=27
New meter - external antenna,15,70260904,DARK,52.2,2026-07-10,16185,,PENDING -> 17037,0,344,AT&T,-118.0,3590,GEN2,SILENT,1253.1,51.4,24.38,TI version latched 0 at the 16185 update
New meter - external antenna,134,70267776,DARK,49.3,2026-07-13,16185,,PENDING -> 17037,0,344,AT&T,-122.0,3554,GEN2,SILENT,1184.0,51.4,23.04,TI version latched 0 at the 16185 update
New meter - external antenna,130,70264260,DARK,47.1,2026-07-15,16185,,PENDING -> 17037,0,344,AT&T,-115.0,3231,GEN2,SILENT,1131.9,51.4,22.02,"tifota_hard_reset_cnt=1054, TI latched 0"
New meter - external antenna,95,70259112,DARK,33.0,2026-07-29,16185,,PENDING -> 17037,0,344,AT&T,-117.0,3091,GEN2,SILENT,793.1,51.4,15.43,"tifota_hard_reset_cnt=3740, TI latched 0"
New meter - external antenna,100,70260581,DARK,22.2,2026-08-09,16022,16185,PENDING -> 16185,260,314,AT&T,-116.0,3593,GEN2,SILENT,534.4,51.4,10.4,"stFotaHttpFail=83 over 71 tries, all at 16185 | STILL PINNED gen2fw=16185"
New meter - external antenna,89,70264732,DARK,13.2,2026-08-18,15147,,NO PIN,209,,AT&T,-121.0,3128,GEN2,SILENT,318.0,51.4,6.19,tifota_fetch_err=42 - download never completed
New meter - standard,153,70265127,DARK,287.5,2025-11-17,10295,,NO PIN,159,,AT&T,-111.0,,GEN1,SILENT,6901.9,240.0,28.76,"dark 288d on obsolete fw 10295, no FOTA-failure evidence"
New meter - standard,31,65824487,DARK,185.2,2026-02-27,10322,,NO PIN,181,,AT&T,-118.0,,GEN1,SILENT,4444.9,240.0,18.52,"dark 185d on obsolete fw 10322, no FOTA-failure evidence"
New meter - standard,66,72383407,online,0,2026-08-31,17040,,in sync,354,354,AT&T,-108.0,3635,GEN2,in bound,2.7,51.4,0.05,"register flat 45d + failed cal - metering fault, not signal"
Re-check morning of trip,62,79462774,DARK,4.1,2026-08-27,17037,,in sync,344,344,Verizon,-128.0,3650,GEN2,SILENT,99.1,51.4,1.93,only 4d quiet after 23/28 cadence; fsm_fail_TIFOTA=12 - ext-ant meter if still down
Re-check morning of trip,137,70268626,DARK,3.1,2026-08-28,16185,,in sync,314,314,Verizon,-123.0,3629,GEN2,SILENT,76.0,51.4,1.48,"only 3d quiet after 25/28 cadence; tifota_hard_reset_cnt=2, fsm_fail_TIFOTA=48 - ext-ant meter if still down"
Check on site - no parts,58,70262256,online,0,2026-08-31,16185,,in sync,314,314,Verizon,-118.0,3641,GEN2,in bound,3.6,51.4,0.07,failed calibration flag
Check on site - no parts,74,70261316,online,0,2026-08-31,17040,,in sync,354,354,T-Mobile,-114.0,3603,GEN2,in bound,3.5,51.4,0.07,failed calibration flag
