Action,Apt,Device,Status,DaysDark,LastRadioContact,FW,TI,Carrier,RSRP_final30,RSRP_life,VddAdc_mV,ReportDays_final4wk,Why
REPLACE,153,70265127,DARK,287.5,2025-11-17,10295,159,AT&T,-111.0,-111.0,,11,dark 288d on obsolete fw 10295
REPLACE,31,65824487,DARK,185.2,2026-02-27,10322,181,AT&T,-118.0,-119.5,,6,dark 185d on obsolete fw 10322
REPLACE,43,72381864,DARK,158.2,2026-03-26,362,0,Verizon,-118.0,-118.0,3620.0,25,dark 158d on obsolete fw 362
REPLACE,92,70267768,DARK,115.3,2026-05-08,15154,209,AT&T,-116.0,-117.0,3583.0,18,dark 115d on obsolete fw 15154
REPLACE,130,70264260,DARK,47.1,2026-07-15,16185,0,AT&T,-115.0,-116.0,3231.0,23,battery 3231mV (fleet p10 3605) + fw brick
REPLACE,95,70259112,DARK,33.0,2026-07-29,16185,0,AT&T,-117.0,-116.0,3091.0,10,battery 3091mV (fleet p10 3605) + fw brick
REPLACE,89,70264732,DARK,13.2,2026-08-18,15147,209,AT&T,-121.0,-120.0,3128.0,14,battery 3128mV (fleet p10 3605)
REPLACE,66,72383407,online,0,2026-08-31,17040,354,AT&T,-108.0,-106.0,3635.0,28,"register flat 45d + failed cal, comms fine (RSRP -108)"
RESET+ANTENNA,11,65829833,DARK,82.2,2026-06-10,16048,209,AT&T,-123.0,-118.0,3613.0,5,silent 0.0d after fw->16048
RESET+ANTENNA,134,70267776,DARK,49.3,2026-07-13,16185,0,AT&T,-122.0,-120.0,3554.0,19,"silent 0.0d after fw->16185, TI latched 0"
RESET,49,70264476,DARK,90.2,2026-06-02,16048,272,AT&T,-114.0,-111.0,3438.0,27,silent 0.0d after fw->16048
RESET,132,70270309,DARK,87.2,2026-06-05,16048,209,AT&T,-118.5,-115.0,3484.0,3,silent 0.0d after fw->16048
RESET,15,70260904,DARK,52.2,2026-07-10,16185,0,AT&T,-118.0,-114.0,3590.0,24,"silent 0.0d after fw->16185, TI latched 0"
RESET,100,70260581,DARK,22.2,2026-08-09,16022,260,AT&T,-116.0,-119.0,3593.0,0,no firmware update near death; faded out gradually
ANTENNA+RESET,102,72391244,DARK,54.3,2026-07-08,16022,260,AT&T,-122.0,-119.0,3641.0,17,"no firmware update near death; reported steadily, then stopped dead"
ANTENNA+RESET,12,70261068,DARK,54.3,2026-07-08,15147,209,AT&T,-121.0,-117.5,3618.0,18,"no firmware update near death; reported steadily, then stopped dead"
ANTENNA+RESET,147,70271968,DARK,53.2,2026-07-09,16022,260,AT&T,-121.0,-118.0,3640.0,24,"no firmware update near death; reported steadily, then stopped dead"
ANTENNA+RESET,62,79462774,DARK,4.1,2026-08-27,17037,344,Verizon,-128.0,-126.0,3650.0,23,"no firmware update near death; reported steadily, then stopped dead"
ANTENNA+RESET,137,70268626,DARK,3.1,2026-08-28,16185,314,Verizon,-123.0,-120.0,3629.0,25,"no firmware update near death; reported steadily, then stopped dead"
ANTENNA,2,70265796,online,0,2026-08-31,16022,260,Verizon,-120.0,-116.0,3647.0,28,working but RSRP at the edge
ANTENNA,101,70266489,online,0,2026-08-31,17037,344,Verizon,-123.0,-121.0,3640.0,28,working but RSRP at the edge
ANTENNA,135,65825286,online,0,2026-08-31,17037,344,T-Mobile,-125.5,-121.0,3640.0,14,working but RSRP at the edge
ANTENNA,148,70265135,online,0,2026-08-31,17037,344,AT&T,-124.0,-116.0,3607.0,26,working but RSRP at the edge
ANTENNA,63,72381419,online,0,2026-08-31,17037,344,Verizon,-121.0,-116.0,3638.0,25,working but RSRP at the edge
ANTENNA,68,70267735,online,0,2026-08-31,17037,344,T-Mobile,-122.0,-122.0,3649.0,27,working but RSRP at the edge
ANTENNA,85,72382094,online,0,2026-08-31,17037,344,T-Mobile,-122.0,-114.0,3643.0,26,working but RSRP at the edge
ANTENNA,88,70261142,online,0,2026-08-31,17037,344,T-Mobile,-120.0,-117.0,3495.0,25,working but RSRP at the edge
ANTENNA,104,70259054,online,0,2026-08-31,17037,344,T-Mobile,-120.5,-114.0,3623.0,22,working but RSRP at the edge
ANTENNA,50,70267925,online,0,2026-08-31,16185,314,Verizon,-123.0,-118.0,3641.0,27,working but RSRP at the edge
CHECK,58,70262256,online,0,2026-08-31,16185,314,Verizon,-118.0,-112.0,3641.0,27,failed calibration flag
CHECK,74,70261316,online,0,2026-08-31,17040,354,T-Mobile,-114.0,-115.0,3603.0,24,failed calibration flag
CHECK,9,75360303,online,0,2026-08-31,17037,344,Verizon,-114.0,-114.0,3647.0,28,high ToF rejection - acoustic/coupling
CHECK,18,70271380,online,0,2026-08-31,17040,354,T-Mobile,-112.0,-111.0,3491.0,27,failed calibration flag
