device_serial,tb_device_id,property_group,apartment,state_now,metering_duty_since_landing_pct,hours_since_landing,verdict,failure_mode,tiWdReset,gain,upamp,tnormStddev,gal_7d,rsrp,root_cause,recommended_action
70259476,745f1d90-ad43-11f0-98a7-c3bc57f9afe3,Backwater MHC,10,Calibrating,75,35,FAILURE,GATE-LOOP,39,40.0,0.0,0.0,42,-76,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
72722046,4f6f2ab0-d21f-11f0-b691-d965a62fa4fa,Crystal Acres MHC,16,Calibrating,44,59,FAILURE,GATE-LOOP,69,40.0,0.0,0.0,-1,-106,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
70269160,746591e0-a940-11f0-98a7-c3bc57f9afe3,Crystal Acres MHC,22,Calibrating,89,56,FAILURE,GATE-LOOP,101,40.0,0.0,0.0,1117,-118,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
70269301,e3c37010-a941-11f0-98a7-c3bc57f9afe3,Crystal Acres MHC,41,Calibrating,76,34,FAILURE,GATE-LOOP,54,40.0,0.0,0.0,71,-112,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
79461073,5bcbb420-3f31-11f1-b39d-b550dfb4ab8b,Holly Tree MHP,34,Calibrating,76,32,FAILURE,GATE-LOOP,28,40.0,0.0,0.0,613,-117,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
77052258,48434f10-26a7-11f0-8272-45e3ef110760,Holly Tree MHP,67,Calibrating,76,33,FAILURE,GATE-LOOP,30,40.0,0.0,0.0,264,-107,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
77060855,7e0fcd50-3d9d-11f0-8e55-b138a1c03c8e,Sara Drive MHP,1029,Calibrating,0,58,FAILURE,GATE-LOOP,129,40.0,0.0,0.0,516,-118,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
79466379,1cb19300-545c-11f1-b1bb-f3574cce671d,Shady Lane MHP-Cust,106 Shady Lane,Calibrating,41,56,FAILURE,GATE-LOOP,89,40.0,0.0,0.0,120,-109,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
65829312,85b1f1a0-e07d-11ef-a5fd-a97d57576080,Virginia Beach HOA - Cust,145,Calibrating,26,58,FAILURE,GATE-LOOP,54,40.0,0.0,0.0,68,-102,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
75361806,a5ec3540-4d71-11f1-b1bb-f3574cce671d,Virginia Beach HOA - Cust,2,Calibrating,44,57,FAILURE,GATE-LOOP,131,40.0,0.0,0.0,30,-114,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
72383068,3a2fb640-9a72-11f0-b5af-5dfa9891b485,Whispering Pines Mobile Estates-CUST,500,Calibrating,41,57,FAILURE,GATE-LOOP,122,40.0,0.0,0.0,232,-99,17086-17090 watchdog reset parks the TI at its cal gate; reset every 20 min; aggregates frozen,pin 17091 when bench pair is 24 h clean
65831581,12317560-cf71-11ef-8f43-73c96c0de66f,Alta Vista MHC-CUST,4,Metering,71,56,FAILURE,COMPRESSED-SIGNAL,2,52.0,460.0,3374.0,20,-116,"cal latched high gain; saturated signal, noisy tnorm, offset cannot lock",recalibrate=true then delete; gain pin if it re-locks high
70266968,1144b3c0-6674-11f0-8658-7f4e94e41769,Rustic Acres MHC-CUST,59,Metering,70,82,FAILURE,COMPRESSED-SIGNAL,0,47.0,2901.0,473.0,481,-124,"cal latched high gain; saturated signal, noisy tnorm, offset cannot lock",recalibrate=true then delete; gain pin if it re-locks high
72717020,e7ce4200-d4c7-11f0-b691-d965a62fa4fa,Backwater MHC,26-2OF2,Failed Cal,0,34,FAILURE,CAL-FAIL (signal present),0,52.0,816.0,0.0,14,-75,Failed Cal with echo present at max gain; v391 cal not converging on this pipe,bench cal telemetry; field re-seat
77036889,5088dab0-26ce-11f0-8272-45e3ef110760,Pelican Shores North HOA - Cust,12636,Failed Cal,94,71,FAILURE,CAL-FAIL (signal present),2,52.0,930.0,0.0,25578,-116,Failed Cal with echo present at max gain; v391 cal not converging on this pipe,bench cal telemetry; field re-seat
77055145,87b7e210-3db7-11f0-8e55-b138a1c03c8e,The Oaks MHC,20,Failed Cal,0,12,FAILURE,CAL-FAIL (signal present),0,55.0,368.0,0.0,66,-99,Failed Cal with echo present at max gain; v391 cal not converging on this pipe,bench cal telemetry; field re-seat
77057596,53c2d000-26ce-11f0-8272-45e3ef110760,The Oaks MHC,37,Failed Cal,0,13,FAILURE,CAL-FAIL (signal present),0,52.0,1030.0,0.0,1043,-96,Failed Cal with echo present at max gain; v391 cal not converging on this pipe,bench cal telemetry; field re-seat
70272180,75a7d5e0-a940-11f0-98a7-c3bc57f9afe3,Crystal Acres MHC,6,Metering,23,34,FAILURE,OTHER,9,42.0,1016.0,95.0,923,-116,metering 23-76% of the time since landing; gate-loop survivor / post-cal churn,"watch 48 h, recalibrate if duty stays <80%"
