Action,Lot,Device,State,DaysDark,LastRadioContact,FW_now,gen2fw_pin,SyncState,TI_now,allowTiFotaVer,Carrier,RSRP_final30_dBm,VddAdc_mV,Gen,CadenceVerdict,Silence_h,Bound_h,Silence_x_bound,Reg45d_gal,RegFrozen_days,rejPct_med,failedCal,Billable,Basis
REPLACE - ext antenna,45,Device 68612744,ONLINE,1.13,2026-08-30 15:14,17037,17037,IN_SYNC,314,344,AT&T,-122.5,3592,GEN2,OK,27.01,51.18,0.53,0.0,59.3,0.0,1.0,False,"Never entered metering: meteringEntered=0, dia=0, offset=0, meterVal=0, register unchanged 59d. Already flagged Replace=True. RSRP -122.5 <= -122 so ext-antenna variant. Lowest battery on site (3592 mV)."
REPLACE - standard,36,Device 72387366,ONLINE,0.08,2026-08-31 16:15,16185,17037,PENDING,314,344,AT&T,-120.0,3638,GEN2,OK,1.99,51.18,0.04,,52.3,,0.0,True,"Terminal FOTA loop: 1225 hard resets, 28 fetch_err, 242 stFotaHttpFail; stuck on 16185 vs pin 17037. flowRate IS flowing so the sensor works, but register has not committed in 52d while BILLABLE. Cannot be fixed by FOTA (retry loop never exits). RSRP -120.0. Install note: ""Try verizon - TMO failed - no insulation""."
REPLACE - standard,56,Device 70263486,ONLINE,0.07,2026-08-31 16:28,16185,17040,PENDING,314,354,AT&T,-121.0,3636,GEN2,OK,1.77,51.18,0.03,,55.3,,0.0,True,"Terminal FOTA loop: 5948 tifota_hard_reset_cnt, 26 fetch_err, 10 stFotaHttpFail; stuck on 16185 vs pin 17040. bCrash=190/bBoot=426 (crash-looping). No flowRate telemetry at all; register frozen 55d while BILLABLE. RSRP -121.0 (worst10 -125) = borderline for ext-antenna, Bruce to call."
MAG RESET + PHYSICAL REGISTER READ - priority,21,Device 79466270,ONLINE,0.06,2026-08-31 16:41,17037,17037,IN_SYNC,344,344,AT&T,-103.0,3666,GEN2,OK,1.55,51.18,0.03,0.0,18.7,0.0,1.0,True,"BILLING RISK. Register jumped +63,164 gal in one step on 08-13 after a 34d individual reporting gap, then froze at exactly 69917.000 for 18.7d (37 identical reports). Implied 1,879 gal/day vs its own pre-gap baseline of ~72 gal/day (26x) and vs site p90 of 134 gal/day (14x). failedCal fired 07-22 and flowRate telemetry stopped 07-23, so the fault predates the value. Radio is the best on site (RSRP -103, rejPct 0). Read the physical register to arbitrate before any billing."
MAG RESET - verify,12,Device 70262348,ONLINE,0.15,2026-08-31 14:33,16185,16185,IN_SYNC,314,314,AT&T,-122.0,3638,GEN2,OK,3.68,51.18,0.07,493.217,24.2,,0.0,True,"Register frozen 24.2d (last change 08-07) while radio healthy. Still on 16185, never took the Aug roll. RSRP -122.0."
MAG RESET - verify,19,Device 72380973,ONLINE,0.17,2026-08-31 14:04,17037,17037,IN_SYNC,344,344,AT&T,-116.0,3643,GEN2,OK,4.18,51.18,0.08,1740.921,19.1,0.0,0.0,True,Register frozen 19.1d (last change 08-12). Only 5 register changes in 60d. Notes show repeated offset resets. RSRP -116.0.
MAG RESET - verify,29,Device 70264211,ONLINE,0.15,2026-08-31 14:44,17037,17037,IN_SYNC,344,344,AT&T,-113.0,3619,GEN2,OK,3.5,51.18,0.07,935.437,19.1,0.0,0.0,True,"Register frozen 19.1d (last change 08-12, a +908 gal catch-up). Notes: ""Large leak offset was good at -258 before leak started"". RSRP -113.0."
MAG RESET - verify,47,Device 70272313,ONLINE,0.16,2026-08-31 14:27,17037,17037,IN_SYNC,344,344,Verizon,-114.0,3651,GEN2,OK,3.79,51.18,0.07,10.445,14.1,0.0,0.0,True,"Register frozen 14.1d (last change 08-17). Earlier +2,932 gal burst over 2d on 07-11. RSRP -114.0."
MAG RESET - verify,61,Device 79462741,ONLINE,0.15,2026-08-31 14:34,17037,17037,IN_SYNC,344,344,Verizon,-118.0,3664,GEN2,OK,3.68,51.18,0.07,257.042,18.1,0.0,0.0,True,"Register frozen 18.1d and went BACKWARDS: 6230.230 on 07-22 -> 6220.000 on 08-13 (-10.2 gal, integer-snapped). RSRP -118.0."
SITE ACCESS - install not done,2-CANTFINDMAIN,Device 70266562,DARK,280.99,2025-11-23 18:28,10300,16022,PENDING,159,260,unknown,-108.0,3581.0,GEN1,DARK,6743.78,240.0,28.1,,,,,False,"GEN1, dark 281d, never came online after the April attempt. Install note 4/18/26: ""Phil cant find main; Local contact will install new meter at a later date"". Billable=False, Replace=True already set. Not a meter fault."
