serial,property,fwVer,fwVerTi,ageDays,dropouts120d,qual0frac30d,qualN,hardResets,tier
65821970,Estancia MHP,15147,256,566,0,0.00,33,0,OK
65821996,Kingsbrook MHC,16131,296,526,0,0.00,23,0,OK
65822002,Canada,362,209,481,0,0.00,59,0,OK
65822010,Estancia MHP,15147,256,566,0,0.00,30,0,OK
65822036,Estancia MHP,16022,260,567,1,0.00,30,0,MED
65822051,Kingsbrook MHC,16131,296,451,0,0.00,30,0,OK
65822119,TN4,362,209,599,0,0.00,60,0,OK
65822127,The Oaks MHC,16131,296,613,0,0.00,30,0,OK
65822168,Oaklawn Park HOA,15090,254,614,0,0.00,29,0,OK
65822176,Maple Run MHC,362,209,601,0,0.00,56,0,OK
65822192,The Oaks MHC,16131,296,619,0,0.00,30,0,OK
65822200,Sara Drive MHP,362,209,619,0,0.00,58,0,OK
65822218,Aurora MHC,16022,260,480,0,0.00,31,0,OK
65822226,Virginia Beach,17037,344,601,1,0.11,66,0,MED
65822234,Carolina Springs MHP,362,209,613,0,0.00,53,0,OK
65822283,Sara Drive MHP,362,209,619,0,0.00,59,0,OK
65822291,La Comunidad MHC,16185,314,461,1,0.00,60,2,MED
65822341,Aurora MHC,16022,260,599,0,0.00,30,0,OK
65822390,Eastwood Hills MHC,16185,314,599,1,0.00,60,2,MED
65822424,Lakeview MHC,362,209,579,0,0.00,60,0,OK
65822432,Taylor St Triplex,16185,314,494,1,0.02,58,2,MED
65822440,Sara Drive MHP,362,209,599,0,0.00,51,0,OK
65822457,Sara Drive MHP,362,209,591,0,0.00,60,0,OK
65822481,Sara Drive MHP,362,209,584,0,0.00,59,0,OK
65822507,PW2,16185,314,591,1,0.00,59,2,MED
65822556,Estancia MHP,15147,256,564,0,0.00,30,0,OK
65822598,Forest at Sherman MHC,16185,314,567,1,0.00,56,2,MED
65822622,Forest at Sherman MHC,16185,314,620,1,0.00,56,2,MED
65822630,Forest at Sherman MHC,16185,314,591,1,0.00,62,2,MED
65822655,Coleman Village MHC,16185,314,619,1,0.00,60,2,MED
65822663,Oaklawn Park HOA,15090,254,601,0,0.00,28,0,OK
65822697,Parkview MHP,16130,296,557,0,0.00,27,0,OK
65822721,Ponderosa MHC,17037,344,462,1,0.02,61,0,MED
65822788,Parkway MHC,16022,260,599,0,0.00,30,0,OK
65822846,Estancia MHP,15147,256,480,0,0.00,30,0,OK
65822853,Parkway MHC,16022,260,617,0,0.00,30,0,OK
65822861,Oaklawn Park HOA,15090,254,602,0,0.00,47,0,OK
65822879,Forest at Sherman MHC,16185,314,591,1,0.00,60,2,MED
65822895,Shenandoah Dr Triplex,362,209,579,0,0.00,58,0,OK
65822960,Forest at Sherman MHC,16185,314,591,1,0.00,53,2,MED
65822994,PW2,16022,260,526,0,0.00,30,0,OK
65823034,Alta Vista MHC,16185,314,566,1,0.00,60,2,MED
65823042,Sara Drive MHP,362,209,562,0,0.00,58,0,OK
65823067,Eastwood Hills MHC,362,209,601,0,0.00,59,0,OK
65823075,Estancia MHP,15147,256,561,0,0.00,66,0,OK
65823125,Estancia MHP,15147,256,567,0,0.00,31,0,OK
65823224,Canada,16185,314,451,1,0.05,62,2,MED
65823299,Parkview MHP,16185,314,602,1,0.00,60,2,MED
65823315,Oakwood MHP,16022,260,602,0,0.00,30,0,OK
65823331,Fair Meadows MHC,16022,260,613,0,0.00,30,0,OK
65823356,Alta Vista MHC,16131,296,602,0,0.00,30,0,OK
65823380,Aurora MHC,16022,260,619,0,0.00,30,0,OK
65823406,PW2,16022,260,599,0,0.00,30,0,OK
65823422,Maple Run MHC,362,209,613,0,0.00,59,0,OK
