serial,apt,n_pre,n_post,zero_pre,conf_pre,zero_post,conf_post,noise_pre,noise_post,dir_rep_pre,dir_rep_post,dir_draw_post,pos_post,neg_post
65822127,11 Oaks,20000,10620,3595,HIGH,-4,HIGH,105.9,110.1,NOT FLIPPED,UNKNOWN,NOT FLIPPED,1246,8
65822283,1014,20000,17693,-4608,MED,10,HIGH,132.1,58.7,FLIPPED,UNKNOWN,FLIPPED,3,128
65823042,1038,11785,20000,-5978,MED,-2,HIGH,125.8,66.0,FLIPPED,UNKNOWN,FLIPPED,7,206
65824917,40 Maple Lane APT #0,4563,37,9128,HIGH,,,153.1,,NOT FLIPPED,NOT FLIPPED,no draws,,
65825625,61,1304,6,101,MED,,,513.7,,UNKNOWN,FLIPPED,no draws,,
65828520,40 Maple Lane APT #4,20000,1127,-2,MED,9597,MED,22.0,196.0,NOT FLIPPED,NOT FLIPPED,FLIPPED,61,658
65829130,1010,20000,6948,-3416,MED,-3470,HIGH,96.4,79.7,FLIPPED,FLIPPED,FLIPPED,535,2278
65830294,125,20000,6284,-8855,HIGH,8354,MED,47.2,158.3,UNKNOWN,NOT FLIPPED,ambiguous,1757,1580
65830617,1040,13916,0,-1,HIGH,,,99.6,,UNKNOWN,UNKNOWN,no draws,,
65831011,38,20000,4529,2,HIGH,-7550,HIGH,127.9,184.5,FLIPPED,FLIPPED,FLIPPED,368,743
65831581,4,5268,9,85,HIGH,,,344.9,,NOT FLIPPED,NOT FLIPPED,no draws,,
68593019,32,20000,856,-24,MED,-5115,MED,439.3,86.0,UNKNOWN,FLIPPED,FLIPPED,182,368
70262090,TEST1,20000,20000,-11,HIGH,-23,HIGH,93.3,62.9,UNKNOWN,NOT FLIPPED,NOT FLIPPED,19,0
70262199,69,8706,11539,5442,MED,20,HIGH,133.1,58.7,NOT FLIPPED,UNKNOWN,NOT FLIPPED,1054,9
70262298,42,718,9332,2965,MED,-1638,HIGH,62.9,76.5,UNKNOWN,UNKNOWN,FLIPPED,174,4086
70262371,46,1508,7863,2273,MED,-867,MED,365.9,379.5,NOT FLIPPED,FLIPPED,NOT FLIPPED,4871,763
70263700,36,4425,7163,-4962,HIGH,18,HIGH,169.8,135.2,UNKNOWN,FLIPPED,FLIPPED,0,140
70266471,66,83,3,1308,MED,,,264.2,,NOT FLIPPED,FLIPPED,no draws,,
70266968,59,20000,2005,-948,MED,-7650,HIGH,366.9,145.7,FLIPPED,FLIPPED,ambiguous,626,694
