serial,apt,n_post,zeros_post,zero_pre,cls_pre,zero_post,edge_post,cls_post,events_post,noise_pre,noise_post,dir_rep_pre,dir_rep_post,dir_draw_post,pos,neg,tnormAvg,quiet_final,basis,dir_final
65822127,11 Oaks,10620,30,3595,DISAGREE,-4,-37,AGREE,5,105.9,110.1,NOT FLIPPED,UNKNOWN,NOT FLIPPED,1246,8,376,-4,largest~tnormAvg,NOT FLIPPED
65822283,1014,17693,108,-4787,DISAGREE,10,-7,AGREE,5,131.0,58.7,FLIPPED,UNKNOWN,FLIPPED,3,128,-94,-7,edge~tnormAvg,FLIPPED
65823042,1038,20000,102,-5936,DISAGREE,-2,75,CONTINUOUS,3,125.8,66.0,FLIPPED,UNKNOWN,FLIPPED,7,206,-19,-2,largest~tnormAvg,FLIPPED
65828520,40 Maple Lane APT #4,1127,0,-2,AGREE,9597,7,DISAGREE,28,22.0,108.0,NOT FLIPPED,NOT FLIPPED,FLIPPED,1022,0,625,7,edge~tnormAvg,NOT FLIPPED
65829130,1010,6948,0,-3361,DISAGREE,-3384,50,DISAGREE,74,97.5,143.6,FLIPPED,FLIPPED,FLIPPED,14,6499,404,50,edge~tnormAvg,FLIPPED
65830294,125,6284,0,-8855,DISAGREE,8551,17,DISAGREE,85,47.2,350.2,UNKNOWN,NOT FLIPPED,ambiguous,5842,4,351,17,edge~tnormAvg,NOT FLIPPED
65831011,38,4529,0,2,AGREE,-7550,-6,DISAGREE,30,127.9,168.8,FLIPPED,FLIPPED,FLIPPED,2,4311,-491,-6,edge~tnormAvg,FLIPPED
68593019,32,856,0,-252,AGREE,-14461,-130,DISAGREE,27,440.3,304.0,UNKNOWN,FLIPPED,NOT FLIPPED,6,723,-61,-130,edge~tnormAvg,FLIPPED
70262090,TEST1,20000,101,-11,AGREE,-23,,CONTINUOUS,2,93.3,62.9,UNKNOWN,NOT FLIPPED,NOT FLIPPED,19,0,-16,-23,largest~tnormAvg,NOT FLIPPED
70262199,69,11539,60,5385,DISAGREE,20,158,AGREE,21,133.1,58.7,NOT FLIPPED,UNKNOWN,NOT FLIPPED,1054,9,53,20,largest~tnormAvg,NOT FLIPPED
70262298,42,9332,0,2867,DISAGREE,-1638,-200,DISAGREE,45,57.7,218.1,UNKNOWN,UNKNOWN,FLIPPED,31,5962,-467,-200,edge~tnormAvg,FLIPPED
70262371,46,7863,0,2035,CONTINUOUS,-647,-224,AGREE,32,397.3,377.4,NOT FLIPPED,FLIPPED,NOT FLIPPED,4335,1003,15,-224,edge~tnormAvg,NOT FLIPPED
70263700,36,7163,20,-4962,DISAGREE,18,-32,AGREE,2,169.8,135.2,UNKNOWN,FLIPPED,FLIPPED,0,140,-184,-32,edge~tnormAvg,FLIPPED
70266968,59,2005,0,-1143,DISAGREE,-7562,4,DISAGREE,40,331.3,297.7,FLIPPED,FLIPPED,ambiguous,15,1709,-130,4,edge~tnormAvg,FLIPPED
70267966,40 Maple Lane APT #5,5802,2,5227,DISAGREE,5400,-36,DISAGREE,53,169.8,113.2,NOT FLIPPED,NOT FLIPPED,ambiguous,5414,0,365,-36,edge~tnormAvg,NOT FLIPPED
70268923,47,5516,1,-342,AGREE,797,-385,DISAGREE,296,160.4,356.4,UNKNOWN,FLIPPED,FLIPPED,701,63,-9,-385,edge~tnormAvg,NOT FLIPPED
70269228,16,36,0,-1009,DISAGREE,-50,-57,AGREE,7,377.4,95.4,FLIPPED,UNKNOWN,no draws,0,0,24,-50,largest~tnormAvg,no draws
70270143,33,20000,114,,,-13,-11,AGREE,4,,62.9,FLIPPED,UNKNOWN,no draws,0,0,-10,-11,edge~tnormAvg,no draws
70271133,1008,7167,27,-3195,DISAGREE,24,16,AGREE,2,158.3,94.4,FLIPPED,FLIPPED,no draws,0,0,22,24,largest~tnormAvg,no draws
