serial,apt,landed,days_on,dir_pre,dir_post,dir_post_all,offset_pre,offset_post,offset_post_min,offset_post_max,recs_pre,recs_post,tofNorm_med_pre,tofNorm_med_post,noise_pre_ps,noise_post_ps,waterFlowDir_attr,from_pair,ti_crossed,galday_pre_med,galday_pre_range,galday_post
65831011,38,09/15 08:58,0.9,FLIPPED,FLIPPED,FLIPPED,806.5,743.0,694.0,743.0,10000,4867,-7084.0,-7593.0,200.2,207.6,2,17078/391,no,,,
68593019,32,09/14 08:44,2.0,UNKNOWN,FLIPPED,FLIPPED,1664.0,1789.0,1789.0,1838.0,10000,10000,402.5,-1029.5,1357.6,1132.2,2,16022/260,yes,,,
79460877,89,09/14 07:37,2.0,UNKNOWN,UNKNOWN,FLIPPED/UNKNOWN,4852.0,4233.0,3971.0,4992.0,10000,10000,-1090.0,-1976.0,1354.5,440.3,2,17037/344,yes,279.0,147-698,09/15:439
65831581,4,09/15 09:23,0.9,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-5749.0,-6190.0,-6190.0,-6190.0,5257,20,25.0,-228.5,416.2,387.9,1,17060/368,yes,,,
75364560,80,09/14 06:50,2.0,UNKNOWN,UNKNOWN,FLIPPED/UNKNOWN,-659.0,-689.0,-764.0,-689.0,1467,87,-36.0,-67.0,928.3,784.2,2,17037/344,yes,,,
65830617,1040,09/15 07:27,1.0,NOT FLIPPED,UNKNOWN,UNKNOWN,3264.0,2403.0,2403.0,2403.0,10000,54,43.0,1588.0,110.1,285.2,,362/209,yes,,,
79454912,Desktop Debug,09/13 11:43,2.8,UNKNOWN,UNKNOWN,UNKNOWN,1012.0,410.0,410.0,508.0,10000,10000,27.0,7.0,56.6,55.6,,17058/365,yes,,,
72716170,17,09/15 07:34,1.0,FLIPPED,FLIPPED,FLIPPED,-4865.0,-4708.0,-4708.0,-4708.0,10000,3,-10662.5,4.0,6106.7,,,17032/344,yes,,,
70263700,36,09/15 08:28,1.0,FLIPPED,FLIPPED,FLIPPED,2304.0,2482.0,2282.0,2531.0,4631,7223,-5005.0,15.0,230.6,137.3,,17066/372,yes,,,
72392358,32,09/15 10:46,0.9,UNKNOWN,FLIPPED,FLIPPED,-1598.0,-1879.0,-1879.0,-1879.0,10000,10000,-39.0,80.0,30.4,38.8,,17078/391,no,,,
70269228,16,09/15 04:47,1.1,FLIPPED,UNKNOWN,UNKNOWN,2048.0,2207.0,2156.0,2207.0,102,36,-639.5,-14.0,657.3,95.4,,16131/296,yes,,,
72383175,48,09/15 10:35,0.9,UNKNOWN,UNKNOWN,UNKNOWN,2929.5,2834.0,2834.0,2834.0,442,9,344.5,2.0,447.7,47.2,,17060/368,yes,,,
77058339,TEST3,09/13 11:26,2.8,UNKNOWN,NOT FLIPPED,NOT FLIPPED,-3990.0,-4067.0,-4130.0,-4018.0,10000,10000,27.0,17.0,64.0,60.8,1,17066/372,yes,,,
70262090,TEST1,09/13 11:18,2.8,UNKNOWN,NOT FLIPPED,NOT FLIPPED/UNKNOWN,1163.0,1171.0,1163.0,1171.0,10000,10000,-17.0,-19.0,64.0,59.8,1,17066/372,yes,,,
65825625,61,09/14 05:29,2.1,UNKNOWN,FLIPPED,FLIPPED/UNKNOWN,-128.0,-217.0,-217.0,-217.0,1291,37,46.0,-171.0,1216.1,1366.5,2,16022/260,yes,,,
72383795,CSP150-1860-BLAKEST,09/15 08:39,1.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,1186.5,1376.0,1376.0,1376.0,10000,1349,1136.0,1283.0,74.4,97.0,1,17078/391,no,,,
72721394,116-D,09/14 09:21,1.9,UNKNOWN,UNKNOWN,UNKNOWN,-776.0,-2986.0,-2986.0,-2816.0,10000,10000,988.0,-1072.0,810.4,406.8,,17037/344,yes,0.0,0-416,09/15:152
65830294,125,09/14 07:48,2.0,UNKNOWN,NOT FLIPPED,NOT FLIPPED,-3283.0,-3099.0,-3099.0,-3099.0,10000,4084,-8742.0,8155.5,69.2,183.5,,17037/344,yes,,,
72379256,43,09/15 09:46,0.9,FLIPPED,FLIPPED,FLIPPED,-1410.0,-1059.0,-1059.0,-1059.0,10000,187,-4947.0,347.0,287.3,270.5,,17037/344,yes,,,
75368587,9,09/14 21:45,1.4,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-3040.0,-3153.0,-3214.0,-3110.0,10000,2718,4430.0,2457.0,131.0,119.5,,17078/368,yes,,,
70266968,59,09/14 07:06,2.0,FLIPPED,FLIPPED,FLIPPED/UNKNOWN,632.0,655.5,434.0,877.0,10000,2154,-830.0,-7556.5,856.5,192.9,2,17037/344,yes,,,
75360766,30,09/16 07:29,0.0,NOT FLIPPED,UNKNOWN,UNKNOWN,3072.0,3188.0,3188.0,3188.0,10000,906,3850.0,4122.5,116.4,99.6,,16185/314,yes,,,
75368405,3,09/15 08:33,1.0,FLIPPED,FLIPPED,FLIPPED,3277.0,3624.0,3538.0,4487.0,127,3931,-264.0,6583.0,196.0,2645.0,,17060/368,yes,0.0,-0-1,
